key,en_value
"learningJourneyDetailPartialChip","{count} partial"
"learningJourneyDetailPlannedChip","{count} planned"
"learningJourneyDetailProgressLabel","{complete} of {total} stages complete"
"learningJourneyDetailProgressTitle","Progress"
"learningJourneyDetailReadyChip","{count} ready"
"learningJourneyDetailWhyThisMattersTitle","Why this matters"
"learningJourneyDhikrAfterSalahInvocationMeaning","Glory be to Allah, praise be to Allah, Allah is the Greatest."
"learningJourneyDhikrEveningIntro","Evening adhkar close the day with reliance on Allah, gratitude, and calm before night."
"learningJourneyDhikrEveningInvocationMeaning","O Allah, by You we enter the evening, by You we enter the morning, by You we live, by You we die, and to You is the final return."
"learningJourneyDhikrEveningSection1Body","Evening adhkar are read after Asr or around sunset. They help the heart leave the noise of the day and return to Allah before sleep."
"learningJourneyDhikrIstighfarIntro","Istighfar is seeking Allah’s forgiveness with humility, honesty, and hope in His mercy."
"learningJourneyDhikrIstighfarInvocationMeaning","I seek Allah’s forgiveness and I turn to Him in repentance."
"learningJourneyDhikrIstighfarSection1Body","A believer returns often to Allah, not only after major mistakes. Istighfar softens pride, cleans the heart, and keeps the servant close to mercy."
"learningJourneyDhikrIstighfarSection2Body","Use istighfar after a sin, after heedlessness, after prayer, or whenever the heart feels dry and needs to return to Allah."
"learningJourneyDhikrMorningIntro","Morning adhkar begin the day with dependence on Allah, gratitude, and spiritual protection."
"learningJourneyDhikrMorningInvocationContext","Read in the morning to begin the day with trust in Allah."
"learningJourneyDhikrMorningInvocationMeaning","O Allah, by You we enter the morning, by You we enter the evening, by You we live, by You we die, and to You is the resurrection."
"learningJourneyDhikrMorningTakeaway1","Morning adhkar set the tone of the day around Allah."
"learningJourneyDhikrSalawatIntro","Sending prayers upon the Prophet ﷺ is an act of love, gratitude, and obedience to Allah."
"learningJourneyDhikrSalawatInvocationMeaning","O Allah, send prayers upon Muhammad."
"learningJourneyDhikrSalawatSection1Body","Salawat keeps the heart connected to the Messenger ﷺ and reminds you that your path to Allah is shaped by following him with love and respect."
"learningJourneyDhikrWhatIsIntro","Dhikr is remembering Allah with the heart, tongue, and life through praise, gratitude, repentance, and returning to Him often."
"learningJourneyDhikrWhatIsSection1Body","Dhikr is not only repeating words. It is keeping Allah present in awareness through truthful phrases that soften the heart and direct the day."
