key,en_value
"quranTeachingLessonQuickQuizTitle","Quick quiz"
"quranTeachingLessonQuizScore","Quiz score: {score}%"
"quranTeachingLessonSoundHintLabel","Sound hint: {hint}"
"quranTeachingLessonSourceLabel","Source: {source}"
"quranTeachingLessonTapPiecesHint","Tap the pieces in order."
"quranTeachingLessonUpNext","Up next: {title}"
"quranTeachingLevelCompletelyNewDescription","Strict guided steps. Best for complete beginners and anyone wanting a calm path from the start."
"quranTeachingLevelCompletelyNewTitle","I''m completely new"
"quranTeachingLevelImproveReadingDescription","Useful for existing readers who want rules, phrases, and review without heavy restriction."
"quranTeachingLevelImproveReadingTitle","I can read Qur''an and want to improve"
"quranTeachingLevelKnowSomeLettersDescription","Opens early modules together while still showing a recommended order."
"quranTeachingLevelKnowSomeLettersTitle","I know some letters"
"quranTeachingLevelOpenReferenceDescription","Everything stays open for review, lookup, and self-directed study."
"quranTeachingLevelOpenReferenceTitle","I want open access and reference"
"quranTeachingLevelReadSlowlyDescription","Keeps guidance visible but unlocks broader practice groups sooner."
"quranTeachingLevelReadSlowlyTitle","I can read slowly"
"quranTeachingMemoryStateFamiliar","Familiar"
"quranTeachingMemoryStateMastered","Mastered"
"quranTeachingMemoryStateNew","New"
"quranTeachingMemoryStatePracticing","Practicing"
"quranTeachingMemoryStateRecognized","Recognized"
"quranTeachingModeBroad","Broader unlocks"
"quranTeachingModeGuided","Guided unlocks"
"quranTeachingModeOpen","Open reference"
"quranTeachingModuleCompletion","{percent}% complete"
"quranTeachingModuleFoundInQuran","Found in Qur''an"
"quranTeachingModuleLearnWords","Learn words"
"quranTeachingModuleLessonsTitle","Lessons"
"quranTeachingModuleListenOnlyAction","Listen Only"
"quranTeachingModuleLocked","Locked until earlier guided lessons are complete"
"quranTeachingModuleNextLessonAction","Continue with this lesson"
"quranTeachingModuleNextLessonTitle","Next lesson"
"quranTeachingModuleOftenSeenIn","Often seen in: {surahs}"
"quranTeachingModuleStarterSurahShelfTitle","Starter Surah Shelf"
"quranTeachingOpenAction","Open"
"quranTeachingOpenListenOnlyAction","Open Listen Only"
"quranTeachingOpenReviewAction","Open review"
"quranTeachingPathActiveLevel","{level} • {mode}"
"quranTeachingPathSubtitle","Choose your level so lessons open in a calm and useful order."
"quranTeachingPathTitle","Your reading path"
"quranTeachingPracticeAgainSubtitle","These lessons need one more calm pass."
"quranTeachingPracticeAgainTitle","Practice again"
"quranTeachingPracticeNowAction","Practice now"
"quranTeachingPracticeRecommendationHarakatTitle","Review harakat sounds"
"quranTeachingPracticeRecommendationLightSubtitle","A short mixed review will keep recent lessons fresh."
"quranTeachingPracticeRecommendationLightTitle","Keep today light"
"quranTeachingPracticeRecommendationPhrasesSubtitle","{count} phrase items are ready for review."
"quranTeachingPracticeRecommendationPhrasesTitle","Read short phrases again"
"quranTeachingPracticeRecommendationReadingRulesTitle","Go over reading rules"
"quranTeachingPracticeRecommendationSimilarLettersTitle","Practice similar letters"
"quranTeachingPracticeRecommendationWeakAreaSubtitle","A few recent misses suggest this area needs another calm pass."
"quranTeachingPracticeRecommendationWeakAreaTitle","Practice weak areas"
"quranTeachingPracticeRecommendationWordsSubtitle","{count} word items are ready for another look."
"quranTeachingPracticeRecommendationWordsTitle","Revisit learned words"
"quranTeachingPracticeRecommendationsTitle","Practice recommendations"
"quranTeachingProgressSummary","{completed} of {total} lessons completed"
"quranTeachingRecentlyLearnedTitle","Recently learned"
"quranTeachingRecommendedBadge","Recommended"
"quranTeachingRecommendedEmpty","All caught up"
"quranTeachingRecommendedTitle","Recommended next"
"quranTeachingResumeAction","Resume Arabic"
"quranTeachingResumeContinueLessonBody","Continue with {title} • {subtitle}"
"quranTeachingResumeLessonBody","Resume {title} • {subtitle}"
"quranTeachingResumeReviewAction","Open review instead"
"quranTeachingResumeReviewBody","A short review is ready if you want to revisit what you already learned."
"quranTeachingResumeStartBody","Start with {title} • {subtitle}"
"quranTeachingResumeTitle","Resume Arabic"
"quranTeachingResumeWordBody","Return to {wordAr} and keep reading “{meaning}” calmly."
"quranTeachingReviewCompletionBody","A few items are getting stronger. The next short review will bring back anything that still needs another pass."
"quranTeachingReviewCompletionCorrectCount","Correct or remembered: {count}"
"quranTeachingReviewCompletionNeedsMoreCount","Still due soon: {count}"
"quranTeachingReviewCompletionTitle","Nice progress."
"quranTeachingReviewDue","{count} items due"
"quranTeachingReviewLetters","{count} letters reviewed"
