key,en_value
"quranShortSurahsSurahMeta","{surahName} • {ayahCount} ayahs"
"quranSpiritualMomentKidsTitle","A gentle ayah for now"
"quranSpiritualMomentReasonAsr","A small reset for this afternoon"
"quranSpiritualMomentReasonDhuhr","A quiet pause for the middle of the day"
"quranSpiritualMomentReasonFriday","A Friday reflection"
"quranSpiritualMomentReasonIsha","A calm ayah for this evening"
"quranSpiritualMomentReasonKids","A gentle ayah for right now"
"quranSpiritualMomentReasonMaghrib","A gratitude ayah for sunset"
"quranSpiritualMomentReasonNight","A quiet reflection for tonight"
"quranSpiritualMomentReasonRamadan","A meaningful ayah for Ramadan"
"quranSummaryNotableAyatTitle","Notable ayat"
"quranSummaryReflectionPromptsTitle","Reflection prompts"
"quranSummaryRelatedEventsTitle","Related events"
"quranSummaryRelatedProphetsTitle","Related prophets"
"quranSummaryThemeCharity","Charity"
"quranSummaryThemeCommunity","Community"
"quranSummaryThemeFamily","Family"
"quranSummaryThemeGratitude","Gratitude"
"quranSummaryThemeGuidance","Guidance"
"quranSummaryThemeHypocrisy","Hypocrisy"
"quranSummaryThemeJudgment","Judgment"
"quranSummaryThemeJustice","Justice"
"quranSummaryThemeLaw","Law"
"quranSummaryThemeMercy","Mercy"
"quranSummaryThemeParadiseAndHell","Paradise and Hell"
"quranSummaryThemePatience","Patience"
"quranSummaryThemeProphethood","Prophethood"
"quranSummaryThemeRepentance","Repentance"
"quranSummaryThemeResurrection","Resurrection"
"quranSummaryThemeRevelation","Revelation"
"quranSummaryThemeSignsOfCreation","Signs of creation"
"quranSummaryThemeStruggle","Struggle"
"quranSummaryThemeTawhid","Tawhid"
"quranSummaryThemeWorship","Worship"
"quranSummaryVirtuesTitle","Virtues and recitation notes"
"quranSurahInsightPromptAlBaqarahDuaAndResponse","Which ayahs in this surah teach that nearness to Allah should lead naturally to du''a and trust?"
"quranSurahInsightPromptAlBaqarahWorshipAndHelp","How does this surah connect worship to seeking Allah''s help when effort feels heavy?"
"quranSurahInsightPromptAlFurqanConductAndDiscernment","How does this surah define discernment through conduct, speech, and the refusal to answer ignorance with more ignorance?"
"quranSurahInsightPromptAlFurqanTimeAndSigns","What signs in time and creation does this surah name, and how should they reshape remembrance and gratitude?"
"quranSurahInsightPromptAliImranPressureAndCharacter","What kind of character does this surah ask for when a believing community faces pressure or disappointment?"
"quranSurahInsightPromptAliImranSignsAndBelief","How do the signs named in this surah deepen belief instead of remaining only information?"
"quranSurahInsightPromptLuqmanFamilyAndTawhid","How does Luqman teach Tawhid through family counsel rather than through abstract doctrine alone?"
"quranSurahInsightPromptLuqmanGratitudeAndHumility","Where does this surah connect gratitude, humble conduct, and wise speech as one way of living before Allah?"
