key,en_value
"quranReferenceViewerOpenInReader","Open verse in reader"
"quranReferenceViewerReferenceLabel","Qur’an {reference}"
"quranReferenceViewerRelatedHadith","Related Hadith"
"quranReferenceViewerRelatedJourneys","Related Journeys"
"quranReferenceViewerRelatedLifeLessons","Related Life Lessons"
"quranReferenceViewerRelatedProphets","Related Prophets"
"quranReflectionsEmptySubtitle","Save an ayah insight or daily reflection and it will appear here for later review."
"quranReflectionsLibrarySubtitle","Revisit the notes and insights you wanted to keep from your Holy Qur''an journey."
"quranReflectionsSavedInsightSubtitle","A saved insight from your Holy Qur''an journey"
"quranSearchTitle","Holy Qur''an Search"
"quranSpiritualMomentHomeTitle","For this moment"
"quranSpiritualMomentHubTitle","Current moment"
"quranSpiritualMomentPrayerTitle","A gentle reminder after prayer"
"quranSpiritualMomentReaderTitle","This ayah fits this moment"
"quranSpiritualMomentReasonMorning","A calm ayah for your morning"
"quranSpiritualMomentReasonPostPrayer","A gentle reminder after prayer"
"quranSummaryDetailMissingSubtitle","Return to the Holy Qur''an Summary list and choose another surah."
"quranSummaryHeroTitle","Read the flow of the Holy Qur''an one surah at a time"
"quranSummaryIslandTitle","Holy Qur''an Summary"
"quranSummaryPageTitle","Holy Qur''an Summary"
"quranSurahInsightWhyItMattersAliImran","Ali 'Imran matters because it trains belief under pressure. It joins reflection on Allah's signs with restraint, mercy, and steadiness when the heart is tested."
"quranThemeAkhirahDescription","Study accountability, return, and the way the Hereafter reshapes urgency, hope, and moral seriousness."
"quranThemeAkhirahTitle","Akhirah"
"quranThemeCharityDescription","Gather ayahs that frame spending as sincerity, sacrifice, and care for people in need."
"quranThemeCharityTitle","Charity"
"quranThemeDiscoveryBrowseByCategoryTitle","Browse by category"
"quranThemeDiscoveryBrowseMoreThemesAction","Browse more themes"
"quranThemeDiscoveryCategoryAkhirah","Akhirah"
"quranThemeDiscoveryCategoryBelief","Belief"
"quranThemeDiscoveryCategoryCharacter","Character"
"quranThemeDiscoveryCategorySignsReflection","Signs and Reflection"
"quranThemeDiscoveryCategorySocietyEthics","Society and Ethics"
"quranThemeDiscoveryCategoryStoriesProphets","Stories and Prophets"
"quranThemeDiscoveryCategoryWorship","Worship"
"quranThemeDiscoveryExploreThemeAction","Explore theme"
"quranThemeDiscoveryFeaturedThemesTitle","Featured themes"
"quranThemeDiscoveryHeroEyebrow","Thematic Discovery"
"quranThemeDiscoveryHeroSubtitle","A calm way to follow mercy, patience, prophets, guidance, justice, and the signs of creation across related surahs."
"quranThemeDiscoveryHeroTitle","Explore the Qur''an through themes that shape the heart"
"quranThemeDiscoveryIslandSubtitle","Explore the Qur''an through themes like mercy, patience, prophets, guidance, and the hereafter."
"quranThemeDiscoveryIslandTitle","Browse by Topic"
"quranThemeDiscoveryKeyAyahReferencesTitle","Key ayah references"
"quranThemeDiscoveryMissingThemeSubtitle","Return to Browse by Topic and choose another Qur''an theme."
"quranThemeDiscoveryMissingThemeTitle","This theme is not available"
"quranThemeDiscoveryMoreThemesTitle","More themes"
"quranThemeDiscoveryNoResultsSubtitle","Try another topic, prophet, event, or category."
"quranThemeDiscoveryNoResultsTitle","No themes matched your search"
"quranThemeDiscoveryPageSubtitle","Discover the Qur''an through curated themes, related surahs, key ayah anchors, and gentle study pathways."
"quranThemeDiscoveryPageTitle","Browse by Topic"
"quranThemeDiscoveryReflectionTitle","Reflection"
"quranThemeDiscoveryRelatedSurahsTitle","Related surahs"
"quranThemeDiscoverySearchHint","Search topics, prophets, events, or surahs..."
"quranThemeDiscoverySurahCountLabel","{count} surahs"
"quranThemeDiscoveryThemeCountLabel","{count} themes"
"quranThemeFamilyDescription","Start with ayahs that place family responsibility, counsel, honor, and daily care inside the life of faith."
"quranThemeFamilyStudyFocus","Notice that family guidance here is practical. It is about speech, respect, burden-sharing, and wisdom in ordinary relationships, not only abstract affection."
"quranThemeFamilyTitle","Family"
"quranThemeFamilyWhyItMatters","Family is one of the clearest places where faith becomes visible. The Qur’an ties worship to parents’ rights, counsel, restraint, and daily care inside the home."
"quranThemeGratitudeDescription","Follow ayahs where gratitude becomes worship, remembrance, wisdom, and careful use of blessings."
"quranThemeGratitudeStudyFocus","Notice that gratitude is more than praise on the tongue. It appears with remembrance, reflection on signs, and wiser use of time, provision, and daily opportunities."
"quranThemeGratitudeTitle","Gratitude"
"quranThemeGratitudeWhyItMatters","Gratitude protects blessings from becoming heedlessness. The Qur’an presents shukr as worship, wisdom, and a way of using what Allah gives in a better direction."
"quranThemeHumilityDescription","Begin with ayahs that correct pride and teach humble conduct, quiet strength, and self-purification."
"quranThemeHumilityTitle","Humility"
"quranThemeJusticeDescription","Study ayahs that hold justice together with truthfulness, restraint, and responsibility before Allah."
"quranThemeJusticeTitle","Justice"
"quranThemeMapAyahsLabel","Ayahs"
"quranThemeMapBestModeLabel","Best mode"
"quranThemeMapBrowseSubtitle","Browse a curated set of Qur’anic themes and begin from representative ayahs, surahs, and related learning paths."
"quranThemeMapLearningLinksLabel","Learning links"
"quranThemeMapOpenPathAction","Open related path"
"quranThemeMapRelatedLearningTitle","Related learning"
"quranThemeMapRelatedSurahsTitle","Related surahs"
"quranThemeMapRelatedThemesTitle","Themes"
"quranThemeMapRepresentativeAyahsTitle","Representative ayahs"
"quranThemeMapStarterAyahCount","{count} starter ayahs"
"quranThemeMapStudyFocusTitle","What to notice"
"quranThemeMapStudyThemeAction","Study this theme in the Qur’an"
"quranThemeMapSurahsLabel","Surahs"
"quranThemeMapTopicNotFound","This theme could not be found right now."
"quranThemeMapWhyItMattersTitle","Why this theme matters"
"quranThemeMercyDescription","Explore mercy through gentleness, pardon, hopeful return, and the way believers carry other people’s weakness."
"quranThemeMercyStudyFocus","Notice how mercy appears through gentleness, forgiveness, calm responses, and open doors of return. This theme becomes stronger when you read it through conduct as well as emotion."
"quranThemeMercyTitle","Mercy"
"quranThemeMercyWhyItMatters","Mercy in the Qur’an is both something hoped for from Allah and something practiced with people. It reshapes correction, pardon, speech, and how a believer carries weakness."
"quranThemePatienceDescription","Study how sabr appears with prayer, hope, self-restraint, and steadiness under pressure."
"quranThemePatienceStudyFocus","Notice how sabr is paired with prayer, hope, forgiveness, and disciplined restraint. The theme is about staying upright under pressure, not becoming numb."
"quranThemePatienceTitle","Patience"
"quranThemePatienceWhyItMatters","Patience in the Qur’an is not passive waiting. It is worshipful steadiness that keeps the believer praying, hoping, and acting rightly when hardship stretches the soul."
"quranThemePrayerDescription","Start with ayahs that show salah as protection, help in hardship, and an anchor between revelation and daily conduct."
"quranThemePrayerTitle","Prayer"
"quranThemeProphetsDescription","Use prophetic examples to see how revelation becomes lived patience, da’wah, reliance, and leadership."
"quranThemeProphetsTitle","Prophets"
"quranThemeRemembranceDescription","Trace how dhikr steadies the heart, shapes action, and keeps revelation close during ordinary life."
"quranThemeRemembranceStudyFocus","Notice that dhikr is not only repetition. It appears with prayer, gratitude, reflection on signs, and a heart that stays oriented toward Allah throughout the day."
"quranThemeRemembranceTitle","Remembrance"
"quranThemeRemembranceWhyItMatters","Remembrance keeps revelation close during ordinary life. The Qur’an presents dhikr as something that settles the heart, shapes worship, and keeps the believer from living heedlessly."
"quranThemeRepentanceDescription","Follow ayahs that keep the door of return open through hope, reform, mercy, and renewed obedience."
"quranThemeRepentanceStudyFocus","Notice how repentance appears with mercy, hope, and practical change. The theme is about turning back honestly, not only feeling regret."
"quranThemeRepentanceTitle","Repentance"
"quranThemeRepentanceWhyItMatters","Repentance keeps the servant moving back toward Allah instead of freezing in guilt or delay. The Qur’an frames tawbah as hopeful return joined to reform and renewed obedience."
"quranThemeSignsInCreationDescription","Gather ayahs that turn the natural world into reflection, remembrance, and clearer awareness of Allah’s wisdom."
"quranThemeSignsInCreationTitle","Signs in Creation"
"quranThemeSincerityDescription","Study ayahs that purify worship, intention, and inward devotion so acts belong to Allah alone."
"quranThemeSincerityStudyFocus","Notice how sincerity is tied to worship, dependence, and quality of deeds. This theme becomes stronger when you read intention together with obedience and inward honesty."
"quranThemeSincerityTitle","Sincerity"
"quranThemeSincerityWhyItMatters","Sincerity protects worship from becoming image, routine, or divided intention. The Qur’an treats ikhlas as a foundation of devotion, not a small extra refinement."
"quranThemeTrustInAllahDescription","Begin with ayahs where reliance on Allah appears together with obedience, consultation, hope, and patient action."
"quranThemeTrustInAllahStudyFocus","Notice that tawakkul never removes action. The theme becomes clearer when you read reliance together with patience, obedience, and refusal to despair."
"quranThemeTrustInAllahTitle","Trust in Allah"
"quranThemeTrustInAllahWhyItMatters","Trust in Allah steadies the believer when outcomes feel uncertain. The Qur’an links tawakkul to obedience, consultation, and hope after sincere effort rather than escape from responsibility."
"quranTitle","Holy Qur''an"
"quranTopWordsSubtitle","Study frequent Holy Qur''an vocabulary with transliteration and meaning."
"quranTopWordsTitle","Holy Qur''an Top Words"
"quranTopicsTitle","Qur’an Topics"
