key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyStageWuduWhySummary,"Begin with wudu as preparation, purification, and readiness for salah.",11,0
learningJourneyStageWuduWhyTitle,Why wudu matters,11,0
learningJourneyStoriesAnimalsSection1Body,"Animals provide food, transport, companionship, and lessons. The Qur''an draws attention to them so people notice design, provision, and the diversity of creation.",11,0
learningJourneyStoriesAnimalsSection2Body,"Reflecting on animals can soften the heart. You begin to see mercy, dependence, and the wisdom of a Lord who provides for countless creatures every day.",11,0
learningJourneyStoriesAnimalsTakeaway1,"Animals are signs, not background details.",11,0
learningJourneyStoriesAnimalsTakeaway3,Looking closely can turn ordinary sights into remembrance.,11,0
learningJourneyStoriesCompletionIntro,"You have reflected on signs around you in the sky, the sea, the earth, living creatures, and your own life. The next step is to carry that reflection forward.",11,0
learningJourneyStoriesCompletionSection1Title,What signs can do,11,0
learningJourneyStoriesCompletionSection2Title,Where to go next,11,0
learningJourneyStoriesCompletionTakeaway2,Reflection becomes stronger when it is regular.,11,0
learningJourneyStoriesCompletionTakeaway3,Qur''an and reflection belong together.,11,0
learningJourneyStoriesDayNightIntro,"The rhythm of day and night is one of the clearest signs around us. It shapes worship, work, rest, and reflection.",11,0
learningJourneyStoriesDayNightReflection,Which part of your day would benefit most from more intentional remembrance?,11,0
learningJourneyStoriesDayNightTakeaway1,Day and night are signs of order and mercy.,11,0
learningJourneyStoriesDayNightTakeaway2,Time is one of the most valuable trusts you carry.,11,0
learningJourneyStoriesDayNightTakeaway3,Reflection on time can improve daily intention.,11,0
learningJourneyStoriesHumanCreationReflection,How can remembering your origin and purpose change the way you live today?,11,0
learningJourneyStoriesHumanCreationSection2Body,"This reflection guards against two extremes: pride and self-neglect. You are not meaningless, but you are not self-sufficient either.",11,0
learningJourneyStoriesHumanCreationTakeaway1,Human life has purpose and dignity.,11,0
learningJourneyStoriesHumanCreationTakeaway2,Our beginning and end call us to humility.,11,0
learningJourneyStoriesHumanCreationTakeaway3,Purpose grows when we remember who created us.,11,0
learningJourneyStoriesMountainsIntro,"Mountains appear throughout the Qur''an as signs of stability, power, and perspective.",11,0
learningJourneyStoriesMountainsReflection,What would steadiness in faith look like in your life this week?,11,0
learningJourneyStoriesMountainsSection2Body,"For the believer, mountains can become a reminder to seek steadiness in faith. Not everything around you should move your heart so easily.",11,0
learningJourneyStoriesMountainsTakeaway1,Mountains point to stability and strength.,11,0
learningJourneyStoriesMountainsTakeaway2,Creation teaches with scale as well as detail.,11,0
learningJourneyStoriesMountainsTakeaway3,Steadiness in faith is a quality worth seeking.,11,0
learningJourneyStoriesOceanIntro,"The ocean reflects power, provision, beauty, and danger all at once. The Qur''an points to the sea as a sign for those who reflect.",11,0
learningJourneyStoriesOceanTakeaway1,The sea shows both mercy and power.,11,0
learningJourneyStoriesOceanTakeaway2,Creation can provide for us while reminding us of our limits.,11,0
learningJourneyStoriesSection1Title,What you can notice,11,0
learningJourneyStoriesSection2Title,What it means for you,11,0
learningJourneyStoriesSignsDescription,"A reflective journey through the sky, oceans, mountains, animals, human creation, and the rhythm of day and night.",11,0
learningJourneyStoriesSignsOutcome1,Notice Qur''anic signs in the world more intentionally.,11,0
learningJourneyStoriesSignsOutcome2,Link reflection on creation to gratitude and faith.,11,0
learningJourneyStoriesSignsOutcome3,Turn observation into remembrance and humility.,11,0
learningJourneyStoriesSignsSubtitle,Reflect on creation through Qur''anic signs in the world around you.,11,0
learningJourneyStoriesSignsTitle,Stories & Signs,11,0
learningJourneyStoriesSkyIntro,The sky and stars invite quiet reflection. The Qur''an repeatedly calls people to notice the order and beauty above them.,11,0
learningJourneyStoriesSkyReflection,When was the last time you looked at the sky and let it lead you to remembrance?,11,0
learningJourneyStoriesSkyTakeaway1,The sky invites awe and humility.,11,0
learningJourneyStoriesSkyTakeaway3,Reflection begins by paying attention.,11,0
learningJourneyTimelineCompletionActionStep,"Pick one era and connect it to a journey, such as Seerah, Prophets, or Qur''an.",11,0
learningJourneyTimelineCompletionIntro,You now have a simple map of major Islamic eras. This final stage is about turning that map into deeper curiosity and more focused study.,11,0
learningJourneyTimelineCompletionReflection,Which era of Islamic history do you most want to explore more deeply now?,11,0
learningJourneyTimelineCompletionSection1Body,"Islamic history is not a pile of separate facts. Prophetic guidance, community life, scholarship, and global expansion all connect into one long story of revelation, response, struggle, and service.",11,0
learningJourneyTimelineCompletionSection1Title,The connected story,11,0
learningJourneyTimelineCompletionSection2Body,"Choose one lane to deepen next: prophets, seerah, Qur''an, or character. Deeper study becomes easier once you know where each era fits in the broader story.",11,0
learningJourneyTimelineCompletionSection2Title,Your next step,11,0
learningJourneyTimelineCompletionTakeaway1,A simple historical map makes deeper study easier.,11,0
learningJourneyTimelineCompletionTakeaway2,"The Muslim story includes revelation, leadership, knowledge, and global change.",11,0
learningJourneyTimelineCompletionTakeaway3,Focused next steps are better than trying to learn all history at once.,11,0
learningJourneyTimelineDescription,"Build a simple mental map of major Islamic eras so stories, people, and events connect more clearly.",11,0
learningJourneyTimelineEarlyProphetsIntro,"Islamic history begins long before the final Prophet. The earliest prophetic stories establish patterns of guidance, struggle, and mercy.",11,0
learningJourneyTimelineEarlyProphetsReflection,How does seeing the prophets as one connected chain change your view of Islam?,11,0
learningJourneyTimelineEarlyProphetsSection2Body,This early history gives you a foundation. It shows that Islam is not a disconnected new idea. It is the continuation of the same message taught by the prophets.,11,0
learningJourneyTimelineEarlyProphetsTakeaway1,Islam continues the message of earlier prophets.,11,0
learningJourneyTimelineEarlyProphetsTakeaway2,The core call stayed the same across generations.,11,0
learningJourneyTimelineEarlyProphetsTakeaway3,"History begins with guidance, not random events.",11,0
learningJourneyTimelineExpansionIntro,"Islam spread across many lands and peoples over time, bringing new languages, cultures, and responsibilities into the Muslim story.",11,0
learningJourneyTimelineExpansionReflection,How does seeing Islam as a global history change the way you think about the ummah?,11,0
learningJourneyTimelineExpansionSection1Body,"As Muslim lands expanded, communities carried worship, scholarship, trade, and governance into many regions. Expansion brought opportunities as well as tests.",11,0
learningJourneyTimelineExpansionSection2Body,This stage helps you see that Muslim history became global very early. Islam was not limited to one tribe or one region. Its guidance reached many peoples and contexts.,11,0
learningJourneyTimelineExpansionTakeaway1,Islamic history quickly became wider than Arabia.,11,0
learningJourneyTimelineExpansionTakeaway2,Growth brings both opportunity and responsibility.,11,0
learningJourneyTimelineExpansionTakeaway3,A global Muslim history requires broad perspective.,11,0
learningJourneyTimelineGoldenAgeIntro,"Across different centuries, Muslim civilization produced scholarship, institutions, and contributions that served both faith and society.",11,0
learningJourneyTimelineGoldenAgeReflection,What kind of beneficial knowledge do you hope Muslims continue to revive today?,11,0
learningJourneyTimelineGoldenAgeSection1Body,"Scholars, jurists, teachers, scientists, and builders contributed to a rich civilization rooted in revelation and learning. This period included study, preservation, commentary, and service.",11,0
learningJourneyTimelineGoldenAgeSection2Body,"This matters because it shows that faith and learning are not enemies. A community grounded in revelation can also cultivate knowledge, beauty, and social benefit.",11,0
learningJourneyTimelineGoldenAgeTakeaway1,Islamic civilization valued knowledge deeply.,11,0
learningJourneyTimelineGoldenAgeTakeaway2,Faith and learning can strengthen each other.,11,0
learningJourneyTimelineGoldenAgeTakeaway3,Muslim history includes intellectual and civilizational achievement.,11,0
learningJourneyTimelineKhulafaIntro,"After the Prophet, the rightly guided caliphs carried major responsibility for preserving unity, justice, and service.",11,0
learningJourneyTimelineKhulafaReflection,What quality of leadership stands out most to you from this era?,11,0
learningJourneyTimelineKhulafaSection1Body,"Abu Bakr, Umar, Uthman, and Ali each faced different tests. Their era included leadership decisions, expansion, challenges, and the heavy work of guiding a growing community.",11,0
learningJourneyTimelineKhulafaSection2Body,"Learning about this period helps you see that strong leadership requires knowledge, humility, courage, and patience during both ease and conflict.",11,0
learningJourneyTimelineKhulafaTakeaway1,The khulafa led in very demanding times.,11,0
learningJourneyTimelineKhulafaTakeaway2,Leadership in Islam involves service and accountability.,11,0
learningJourneyTimelineKhulafaTakeaway3,"Historical complexity should lead to humility, not shallow judgment.",11,0
learningJourneyTimelineModernIntro,The modern period is complex. Muslims live in many societies and face new questions while still returning to timeless revelation.,11,0
learningJourneyTimelineModernReflection,What helps you stay grounded in guidance amid modern noise and complexity?,11,0
learningJourneyTimelineModernSection1Body,"Modern Muslim life includes diversity of cultures, political realities, migration, technology, and new social pressures. Not every modern problem has a simple summary.",11,0
learningJourneyTimelineModernSection2Body,"This stage encourages perspective rather than despair. The ummah has passed through many changes before. Muslims still return to Qur''an, Sunnah, and trustworthy scholarship for direction.",11,0
learningJourneyTimelineModernTakeaway1,"Modern life is complex, but guidance remains available.",11,0
learningJourneyTimelineModernTakeaway2,The ummah is diverse and global.,11,0
learningJourneyTimelineModernTakeaway3,Perspective and grounded learning protect against confusion.,11,0
learningJourneyTimelineOutcome1,Understand the main eras in Islamic history.,11,0
learningJourneyTimelineOutcome2,See how one era leads into the next.,11,0
learningJourneyTimelineOutcome3,Place prophetic guidance and later Muslim history into a clearer story.,11,0
learningJourneyTimelineProphetEraIntro,"The life of Prophet Muhammad brought revelation into a real community, with hardship, worship, teaching, and social transformation.",11,0
learningJourneyTimelineProphetEraReflection,Which part of the Prophetic era do you most want to understand better right now?,11,0
learningJourneyTimelineProphetEraSection1Body,"The Makkan years built faith, patience, and steadfastness. The Madinan years built community, law, leadership, and social order under revelation.",11,0
learningJourneyTimelineProphetEraSection2Body,This era matters because it shows how belief moved from private conviction into lived community. It is the model Muslims keep returning to for guidance.,11,0
learningJourneyTimelineProphetEraTakeaway1,"The Prophetic era joined belief, worship, and community life.",11,0
learningJourneyTimelineProphetEraTakeaway2,Makkah and Madinah each taught different lessons.,11,0
learningJourneyTimelineProphetEraTakeaway3,This period remains the central lived model for Muslims.,11,0
learningJourneyTimelineSection1Title,What happened,11,0
learningJourneyTimelineSection2Title,Why it matters,11,0
learningJourneyTimelineSubtitle,A guided historical overview from the prophets to the modern world.,11,0
learningJourneyTimelineTitle,Timeline of Islam,11,0
learningJourneyTimelineWhyThisMatters,History gives context. It helps you see how revelation shaped real communities across time.,11,0
learningJourneyToolDuaHubSubtitle,Open the current verified dua hub.,11,0
learningJourneyToolEssentialHadithSubtitle,Start with the curated essentials.,11,0
learningJourneyToolGuidedPrayerSubtitle,Open a guided salah flow.,11,0
