key,en_value
"learnDailyWisdomEntryPatienceBody","Sabr is not passive delay. It is choosing what is pleasing to Allah when your first reaction wants something else."
"learnDailyWisdomEntryPatienceStep","Pause once today before replying when you feel rushed or frustrated."
"learnDailyWisdomEntryPatienceTitle","Patience shapes response"
"learnDailyWisdomEntryReflectionBody","A reminder settles more deeply when you stop with it, revisit it, and let it ask something of your heart instead of passing by quickly."
"learnDailyWisdomEntryReflectionStep","Return to one ayah or note after one prayer today and ask what it is requiring from your heart right now."
"learnDailyWisdomEntryReflectionTitle","Reflection turns reminders into guidance"
"learnDailyWisdomEntryRemembranceBody","Dhikr does not remove every pressure at once, but it keeps the heart from being ruled by pressure alone. Remembering Allah changes the weight of a moment."
"learnDailyWisdomEntryRemembranceSettlingBody","Some days do not need more force. They need the heart returned to Allah often enough that worry stops speaking as if it is the only thing that matters."
"learnDailyWisdomEntryRemembranceSettlingStep","Choose one repeated pause today, such as before opening a message or starting the car, and pair it with a quiet dhikr phrase."
"learnDailyWisdomEntryRemembranceSettlingTitle","Remembrance can settle a scattered hour"
"learnDailyWisdomEntryRemembranceStep","Pause for one short dhikr phrase before your next busy transition and let it slow your heart down."
"learnDailyWisdomEntryRemembranceTitle","Remembrance returns the heart to balance"
"learnDailyWisdomEntryServiceBody","Acts of service are often most sincere when they lighten someone’s burden quietly, before they become visible or praised."
"learnDailyWisdomEntryServicePresenceBody","Helping well is not always solving quickly. Sometimes service begins by noticing who is carrying strain alone and staying present before offering the next useful act."
"learnDailyWisdomEntryServicePresenceStep","Stay a little longer with one person who seems burdened today before deciding what help would actually ease things."
"learnDailyWisdomEntryServicePresenceTitle","Service can begin with presence"
"learnDailyWisdomEntryServiceStep","Do one useful thing for someone today without announcing it or waiting to be noticed."
"learnDailyWisdomEntryServiceTitle","Service often begins in small unseen ways"
"learnDailyWisdomEntrySpeechBody","Words can heal, expose ego, or deepen tension in seconds. Good speech is not only true; it is timely, measured, and merciful."
"learnDailyWisdomEntrySpeechStep","Before one difficult conversation today, decide the first gentle sentence you want to begin with."
"learnDailyWisdomEntrySpeechTitle","Speech reveals what the heart is carrying"
"learnDailyWisdomEntrySteadinessBody","A calm regular act often carries further than a burst of effort that disappears quickly. What stays with Allah is what stays sincere and sustainable."
"learnDailyWisdomEntrySteadinessStep","Choose the smallest act you can repeat for three ordinary days, not just one inspired moment."
"learnDailyWisdomEntrySteadinessTitle","Small steadiness outlasts intensity"
"learnDailyWisdomEntryTrustBody","Tawakkul is strongest when planning and reliance on Allah move together instead of pulling apart."
"learnDailyWisdomEntryTrustStep","Write down the next honest step in one worry, take it calmly, then leave the outcome with Allah."
"learnDailyWisdomEntryTrustTitle","Trust grows with action"
"learnDailyWisdomRecentSubtitle","Revisit a few recent reminders when you want a calm place to begin again."
"learnDailyWisdomRecentTitle","Recent rhythm"
"learnDailyWisdomSaveAction","Save"
"learnDailyWisdomSavedAction","Saved"
"learnDailyWisdomSavedSubtitle","Keep a short shelf of reminders you want to revisit without turning this page into a feed."
"learnDailyWisdomSavedTitle","Saved for revisit"
"learnDailyWisdomSourceCharacterSubtitle","Open Character & Adab when today’s reminder needs a practical next step in conduct."
"learnDailyWisdomSourceHadithSubtitle","Move into Hadith when you want the reminder reinforced through prophetic words and themes."
"learnDailyWisdomSourceHopeSubtitle","Open Qur''an ayah insights on the Hereafter when hope needs stronger perspective, accountability, and mercy."
"learnDailyWisdomSourceLifeSubtitle","Open Divine Life when today’s reminder needs a broader lesson in service, family, or daily conduct."
"learnDailyWisdomSourceProphetsSubtitle","Return to Seerah and prophetic stories when today’s wisdom is best understood through lived example."
"learnDailyWisdomSourceQuranSubtitle","Open the Qur''an learning surface when today''s wisdom needs deeper reflection and ayah context."
"learnDailyWisdomSourceReflectionSubtitle","Open saved Qur''an reflections when today’s reminder needs a quieter review of what has already touched your heart."
"learnDailyWisdomSourceSectionSubtitle","Open the owning surface when today''s reminder needs one deeper step instead of a longer feed."
"learnDailyWisdomThemeForgiveness","Forgiveness"
"learnDailyWisdomThemeGratitude","Gratitude"
"learnDailyWisdomThemeHope","Hope"
"learnDailyWisdomThemeHumility","Humility"
"learnDailyWisdomThemeIntention","Intention"
"learnDailyWisdomThemeMercy","Mercy"
"learnDailyWisdomThemePatience","Patience"
"learnDailyWisdomThemeReflection","Reflection"
"learnDailyWisdomThemeRemembrance","Remembrance"
"learnDailyWisdomThemeService","Service"
"learnDailyWisdomThemeSincerity","Sincerity"
"learnDailyWisdomThemeSpeech","Speech"
"learnDailyWisdomThemeSteadiness","Steadiness"
"learnDailyWisdomThemeTrust","Trust"
"learnDailyWisdomTodaySubtitle","Hold one short reminder with enough context to guide the tone of your day."
"learnDailyWisdomTodayTitle","Today’s wisdom"
"learnDiscoveryAudienceGeneral","General"
"learnDiscoveryBestMatchTitle","Best Next Match"
"learnDiscoveryDifficultyGrowing","Growing"
"learnDiscoveryDifficultyStartHere","Start Here"
"learnDiscoveryExploreSubtitle","Find guided paths, focused lessons, and calm starting points without getting lost in the wider library."
"learnDiscoveryExploreTitle","Explore Learning"
"learnDiscoveryKidsResultsTitle","Kids Results"
"learnDiscoveryLessonsAndPagesTitle","Lessons & Pages"
"learnDiscoveryPracticeAndToolsTitle","Practice & Tools"
"learnDiscoveryRelatedContentTitle","You May Also Want"
"learnDiscoveryRelatedLabel","Related:"
"learnDiscoveryStartHereTitle","Start Here"
"learnDiscoveryTypePath","Path"
"learnDiscoveryTypePractice","Practice"
"learnDiscoveryTypeReflection","Reflection"
"learnEnrichmentCompletionBody","Take a quiet moment, then choose a calm next step when you are ready."
"learnEnrichmentCompletionKidsBody","A warm little step can lead to another joyful lesson."
"learnEnrichmentCompletionKidsSubtitle","A gentle kids journey is complete."
"learnEnrichmentCompletionKidsTitle","You learned something new today"
"learnEnrichmentCompletionSubtitle","A meaningful chapter is complete."
"learnEnrichmentCompletionTitle","You completed {pathTitle}"
"learnEnrichmentEncouragementKids","You learned something new today, and that is beautiful."
"learnEnrichmentEncouragementNextChapter","You are ready for the next gentle chapter."
"learnEnrichmentEncouragementQuran","Understanding can grow one calm step at a time."
"learnEnrichmentEncouragementReadyForNextPath","You are ready for a calm next path."
"learnEnrichmentEncouragementSmallStep","A small step is still progress."
"learnEnrichmentEncouragementSteadyRhythm","You are building a steady rhythm."
"learnEnrichmentEncouragementStories","Let the lesson of the story travel with you into the next step."
"learnEnrichmentEncouragementWelcomeBack","Returning gently is still progress."
"learnEnrichmentKeepGoingAction","Keep going"
"learnEnrichmentMemoriesSubtitle","Small moments that marked your learning journey."
"learnEnrichmentMemoriesTitle","Recent learning memories"
"learnEnrichmentMilestoneFirstKidsPathCompletedBody","A warm little lesson can open the door to many more."
"learnEnrichmentMilestoneFirstKidsPathCompletedTitle","A joyful kids path is complete"
"learnEnrichmentMilestoneFirstPathCompletedBody","A full learning chapter is now behind you, and the next one can begin gently."
"learnEnrichmentMilestoneFirstPathCompletedTitle","Your first path is complete"
"learnEnrichmentMilestoneFirstPathStartedBody","You do not need to do everything at once. One sincere beginning is enough."
"learnEnrichmentMilestoneFirstPathStartedTitle","You started {pathTitle}"
"learnEnrichmentMilestoneFirstQuranStepCompletedBody","Starting small with the Qur’an is still a beautiful beginning."
"learnEnrichmentMilestoneFirstQuranStepCompletedTitle","You began with the Qur’an"
"learnEnrichmentMilestoneFirstStepCompletedBody","That first guided step matters more than speed."
"learnEnrichmentMilestoneFirstStepCompletedTitle","A first step is complete"
"learnEnrichmentMilestoneFoundationsCompletedBody","You now have a calmer base for Salah, Qur’an, or Daily Dhikr."
"learnEnrichmentMilestoneFoundationsCompletedTitle","You completed Foundations"
"learnEnrichmentMilestoneGenericBody","Quiet progress still matters, even when it begins small."
"learnEnrichmentMilestoneGenericTitle","A meaningful step is complete"
"learnEnrichmentMilestoneReturnAfterBreakBody","Coming back calmly still counts as progress."
"learnEnrichmentMilestoneReturnAfterBreakTitle","Welcome back"
"learnEnrichmentMilestoneStoriesCompletedBody","The lessons of the Prophets and Seerah can now carry into character and reflection."
"learnEnrichmentMilestoneStoriesCompletedTitle","You completed Stories"
"learnEnrichmentMilestoneThreeStepsWeekBody","Three guided steps in a week is meaningful progress."
"learnEnrichmentMilestoneThreeStepsWeekTitle","A steady rhythm is forming"
"learnEnrichmentMomentLabel","A gentle milestone"
"learnEnrichmentNextPathsTitle","Continue with"
"learnEnrichmentOpenPathAction","Open path"
"learnEnrichmentSectionSubtitle","Calm milestones and quiet encouragement for the long journey."
"learnEnrichmentSectionTitle","Learning Moments"
"learnFoundationsNextStepsDhikrHint","Choose this if you want a light daily rhythm of dua and remembrance you can start right away."
"learnFoundationsNextStepsIntroBody","You do not need to master every topic before continuing. After these foundations, the best next step is to choose one gentle lane and build consistency there."
"learnFoundationsNextStepsIntroTitle","A steady beginning matters more than doing everything at once"
"learnFoundationsNextStepsQuranHint","Choose this if you want a calm way into reading, listening, and reflecting with the Qur’an."
"learnFoundationsNextStepsSalahHint","Choose this if you want to understand prayer, wudu, and the first practical steps of daily worship."
"learnFoundationsNextStepsSectionSubtitle","These next paths stay focused, so you can keep learning without running into a wall of options."
