key,en_value
"learningJourneyArabicAlphabetWhyThisMatters","Letter confidence is the first real threshold into Qur’anic Arabic and reading."
"learningJourneyBeautifulCharacterDescription","Follow a guided journey through sincerity, patience, gratitude, humility, forgiveness, self-control, kindness, and final reflection."
"learningJourneyBeautifulCharacterOutcome1","Understand core qualities of beautiful Islamic character"
"learningJourneyBeautifulCharacterOutcome2","Connect character to worship, relationships, and daily choices"
"learningJourneyBeautifulCharacterOutcome3","Leave with one clear next step for personal growth"
"learningJourneyBeautifulCharacterSubtitle","Grow through the qualities that beautify faith and daily life."
"learningJourneyBeautifulCharacterTitle","Beautiful Character"
"learningJourneyBeautifulCharacterWhyThisMatters","Knowledge becomes lived Islam when it shapes character, speech, reactions, and service to others."
"learningJourneyCharacterAngerActionStep","Choose one reset habit now: silence, changing posture, stepping away, or saying a short dhikr."
"learningJourneyCharacterAngerBullet1","Do not answer every irritation immediately."
"learningJourneyCharacterAngerBullet2","Use silence before regretful words."
"learningJourneyCharacterAngerBullet3","Return to dhikr to cool the heart."
"learningJourneyCharacterAngerIntro","Anger itself may come, but Islamic character teaches restraint before anger becomes words or harm."
"learningJourneyCharacterAngerReflection","What usually happens just before your anger becomes speech?"
"learningJourneyCharacterAngerSection1Body","Anger narrows judgment quickly. A single uncontrolled moment can damage worship, relationships, and trust built over years."
"learningJourneyCharacterAngerSection1Title","Why anger needs discipline"
"learningJourneyCharacterAngerSection2Title","How to respond well"
"learningJourneyCharacterAngerStageSummary","Train yourself to pause, restrain anger, and respond with wisdom."
"learningJourneyCharacterAngerStageTitle","Controlling anger"
"learningJourneyCharacterAngerTakeaway1","Strength includes restraining yourself when angry."
"learningJourneyCharacterAngerTakeaway2","Most anger mistakes happen in the first moments."
"learningJourneyCharacterAngerTakeaway3","A calmer response protects dignity for everyone involved."
"learningJourneyCharacterAngerTitle","Controlling anger"
"learningJourneyCharacterCompletionActionStep","Write down one trait and one situation where you will consciously practice it this week."
"learningJourneyCharacterCompletionBullet1","Choose one trait, not seven."
"learningJourneyCharacterCompletionBullet2","Attach it to one daily situation."
"learningJourneyCharacterCompletionBullet3","Revisit related journeys for reinforcement."
"learningJourneyCharacterCompletionIntro","You have reached the end of this journey. Now the task is not more information. It is steady application."
"learningJourneyCharacterCompletionReflection","Which single character trait will you keep working on over the next week?"
"learningJourneyCharacterCompletionSection1Body","Which quality came easiest? Which one exposed your weakness? Honest reflection makes future growth real."
"learningJourneyCharacterCompletionSection1Title","Look back honestly"
"learningJourneyCharacterCompletionSection2Body","Do not try to perfect everything at once. Choose one quality that most needs attention in this season of life and keep returning to it."
"learningJourneyCharacterCompletionSection2Title","Choose one trait to carry"
"learningJourneyCharacterCompletionStageSummary","Gather what you learned and choose one character trait to keep practicing."
"learningJourneyCharacterCompletionStageTitle","Completion reflection"
"learningJourneyCharacterCompletionTakeaway1","Character grows by repetition, not intensity alone."
"learningJourneyCharacterCompletionTakeaway2","Reflection helps you see where to begin again."
"learningJourneyCharacterCompletionTakeaway3","The best completion is a small ongoing change."
"learningJourneyCharacterCompletionTitle","Completion reflection"
"learningJourneyCharacterForgivenessActionStep","Make dua for heart-healing before you think about how to respond to an old hurt."
"learningJourneyCharacterForgivenessBullet2","Keep justice and safety in view where needed."
"learningJourneyCharacterForgivenessBullet3","Do not let resentment become your identity."
"learningJourneyCharacterForgivenessIntro","Forgiveness softens the heart and frees it from carrying every injury forever."
"learningJourneyCharacterForgivenessSection1Body","Forgiveness is not pretending harm was good. It is letting go of the desire to keep feeding resentment when forgiveness is wise and safe."
"learningJourneyCharacterForgivenessSection1Title","What forgiveness is and is not"
"learningJourneyCharacterForgivenessSection2Title","Why forgiveness matters"
"learningJourneyCharacterForgivenessStageSummary","Learn when forgiveness heals the heart and restores dignity."
"learningJourneyCharacterForgivenessStageTitle","Forgiveness"
"learningJourneyCharacterForgivenessTakeaway2","A soft heart can still keep wise boundaries."
"learningJourneyCharacterForgivenessTakeaway3","Resentment harms the one carrying it."
"learningJourneyCharacterForgivenessTitle","Forgiveness"
"learningJourneyCharacterHumilityActionStep","Listen carefully to one person today without preparing your answer while they speak."
"learningJourneyCharacterHumilityBullet1","Accept correction without defensiveness."
"learningJourneyCharacterHumilityBullet2","Do not measure people only by status or outward polish."
"learningJourneyCharacterHumilityReflection","Where does pride make it harder for you to listen or change?"
"learningJourneyCharacterHumilitySection1Body","Humility does not mean weakness or self-erasure. It means accepting truth, lowering pride, and refusing to treat others with superiority."
"learningJourneyCharacterHumilitySection1Title","Humility and truth"
"learningJourneyCharacterHumilitySection2Body","Arrogance can hide inside knowledge, talent, worship, wealth, or social standing. Humility asks: do I still listen, learn, and respect others?"
"learningJourneyCharacterHumilitySection2Title","How arrogance enters"
"learningJourneyCharacterHumilityStageSummary","Practice a humble heart while still standing firm on truth."
"learningJourneyCharacterHumilityStageTitle","Humility"
"learningJourneyCharacterHumilityTakeaway1","Humility protects knowledge from becoming pride."
"learningJourneyCharacterHumilityTakeaway2","A humble person can be firm without being arrogant."
"learningJourneyCharacterHumilityTitle","Humility"
"learningJourneyCharacterIkhlasBullet1","Renew your intention before a good deed."
"learningJourneyCharacterIkhlasBullet2","Do some good privately when possible."
"learningJourneyCharacterIkhlasReflection","Which part of your worship or service needs a quieter intention?"
"learningJourneyCharacterIkhlasSection1Title","What sincerity does"
"learningJourneyCharacterIkhlasSection2Body","Ikhlas shows up when you keep doing good even if no one notices, and when you correct your intention whenever pride tries to enter."
"learningJourneyCharacterIkhlasSection2Title","How sincerity appears in real life"
"learningJourneyCharacterIkhlasStageTitle","Sincerity"
"learningJourneyCharacterIkhlasTakeaway1","Sincerity begins in the heart before it appears in action."
"learningJourneyCharacterIkhlasTakeaway2","Private worship helps protect sincerity."
"learningJourneyCharacterIkhlasTakeaway3","Ikhlas needs regular renewal, not a one-time decision."
"learningJourneyCharacterIkhlasTitle","Sincerity (Ikhlas)"
"learningJourneyCharacterKindnessActionStep","Do one small act of gentleness today for someone who usually sees you in a rushed state."
"learningJourneyCharacterKindnessBullet1","Make your speech softer without becoming unclear."
"learningJourneyCharacterKindnessBullet2","Look for one hidden need you can ease today."
"learningJourneyCharacterKindnessBullet3","Treat family and those closest to you with extra care."
"learningJourneyCharacterKindnessIntro","Kindness is one of the clearest signs that knowledge has reached the heart."
"learningJourneyCharacterKindnessReflection","Who in your daily life most needs gentleness from you right now?"
"learningJourneyCharacterKindnessSection1Body","Kindness appears in small things: gentle speech, patient listening, thoughtful timing, service, smiling, and making room for others."
"learningJourneyCharacterKindnessSection1Title","Kindness in ordinary life"
"learningJourneyCharacterKindnessSection2Body","Mercy makes faith visible. People often feel Islam first through a Muslim’s character before they understand its deeper teachings."
"learningJourneyCharacterKindnessSection2Title","Why mercy matters"
"learningJourneyCharacterKindnessStageSummary","Carry mercy into speech, service, and everyday relationships."
"learningJourneyCharacterKindnessStageTitle","Kindness"
"learningJourneyCharacterKindnessTakeaway1","Kindness is one of the strongest forms of dawah in everyday life."
