key,en_value
"learnFoundationsNextStepsSectionTitle","Choose one path to continue"
"learnFoundationsNextStepsSubtitle","You have enough to move forward calmly. Choose the lane that feels most helpful right now."
"learnFoundationsNextStepsTitle","What Next?"
"learnHubContinueJourneySubtitle","Pick up the last lesson, story, or practice that still feels alive."
"learnHubContinueJourneyTitle","Continue Your Journey"
"learnHubDailyLearningLandingSubtitle","A gentle next step for today."
"learnHubExploreQuickAccessTitle","Quick access"
"learnHubExploreSearchResultsTitle","Search results"
"learnHubExploreSupportTitle","Support and saved spaces"
"learnHubKidsFeaturedHelper","Easy entry points for younger learners without leaving the main Learn flow."
"learnHubKidsFeaturedLabel","For families"
"learnHubLandingBrowseJourneysSubtitle","Browse the full journeys home when you want a more guided route."
"learnHubLandingBrowseJourneysTitle","Open Guided Paths"
"learnHubLandingCharacterSubtitle","Grow in adab, patience, and self-improvement."
"learnHubLandingExploreAllAction","Open Explore All"
"learnHubLandingExploreAllSubtitle","Browse tools, notes, and more without crowding the main paths."
"learnHubLandingExploreAllTitle","Explore All"
"learnHubLandingFoundationsSubtitle","Start with belief, prayer basics, and daily essentials."
"learnHubLandingGamesSubtitle","Play quizzes, challenges, and review games."
"learnHubLandingKidsSubtitle","A gentle place for Qur’an, stories, and practice for younger learners."
"learnHubLandingLibraryAction","Library"
"learnHubLandingQuranSubtitle","Enter the Qur’an space for reading, reflection, and guided study."
"learnHubLandingStoriesSubtitle","Learn through prophets, seerah, and Islamic history."
"learnHubLandingWorshipSubtitle","Build your daily practice through salah, duas, and guidance."
"learnHubLearningPathCardSubtitleNoPath","Find your guided path"
"learnHubMainIslandCharacterTitle","Character"
"learnHubMainIslandGamesTitle","Games"
"learnHubMainIslandKidsLearningSubtitle","Stories, Qur''an, Arabic, and kid-friendly learning in one place."
"learnHubMainIslandKidsLearningTitle","Kids Learning"
"learnHubMainIslandLearningPathSubtitle","All journey and guided path content in one place."
"learnHubMainIslandLearningPathTitle","Learning Path"
"learnHubMainIslandQuizzesGamesSubtitle","All quizzes, challenges, and review games in one place."
"learnHubMainIslandQuizzesGamesTitle","Games & Quizzes"
"learnHubMainIslandSelfLearningSubtitle","All learning content and focus areas in one place."
"learnHubMainIslandSelfLearningTitle","Self Learning"
"learnHubMainIslandStoriesTitle","Stories"
"learnHubMainIslandWorshipTitle","Worship"
"learnHubStartJourneyTitle","Start A Journey"
"learnHubVisibleIslandsSubtitle","Begin with one area, then go deeper at your own pace."
"learnHubVisibleKidsIslandsSubtitle","Choose one calm place to read, listen, play, or learn next."
"learnKidsStarterBridgeArabicHint","We begin with one easy letter so the first step feels light and fun."
"learnKidsStarterBridgeBeginAction","Start with Alif"
"learnKidsStarterBridgeIntroBody","This starter path is made for a gentle beginning. We will meet one Arabic letter, hear one short story, and learn one simple dua together."
"learnKidsStarterBridgeIntroTitle","A happy first path"
"learnKidsStarterBridgeStoryHint","Then we hear a short story that helps the next dua feel meaningful."
"learnKidsStarterBridgeSubtitle","We will start small and enjoy one kind step at a time."
"learnKidsStarterBridgeTitle","Let’s learn together"
"learnKidsStarterNextStepsArabicHint","Keep learning letters and sounds one small step at a time."
"learnKidsStarterNextStepsDuasHint","Learn more short duas for everyday moments and happy routines."
"learnKidsStarterNextStepsIntroBody","Bismillah is a beautiful way to begin. Open the kids dua lesson, practice it calmly, and then choose what you want to explore next."
"learnKidsStarterNextStepsIntroTitle","A simple dua to keep with you"
"learnKidsStarterNextStepsOpenDuaAction","Open the Bismillah dua"
"learnKidsStarterNextStepsSectionSubtitle","You can keep growing through letters, stories, or more daily duas."
"learnKidsStarterNextStepsSectionTitle","Choose your next lane"
"learnKidsStarterNextStepsStoriesHint","Enjoy more prophet stories and gentle lessons through story time."
"learnKidsStarterNextStepsSubtitle","Finish with one simple dua, then keep learning in the lane that feels best."
"learnKidsStarterNextStepsTitle","You’re ready for more"
"learnMetadataHadithSubtitle","{collection} • {grading}"
"learnPathLevelDeepDiveTitle","Deep Dive"
"learnPathLevelFoundationsTitle","Foundations"
"learnPathLevelGrowingTitle","Growing"
"learnPersonalizationBecauseActivePath","You already have a guided path in progress."
"learnPersonalizationBecauseDhikrMomentum","Your recent dhikr rhythm makes this a gentle next step."
"learnPersonalizationBecauseFridayRhythm","Friday is a good time for a gentle Qur''an-focused return."
"learnPersonalizationBecauseInactiveReentry","This is a light way to return without feeling overwhelmed."
"learnPersonalizationBecauseKeepMomentum","This keeps your recent momentum going."
"learnPersonalizationBecauseKidsProfile","This keeps the learning journey age-appropriate and easy to follow."
"learnPersonalizationBecauseNoHistory","This is the best place to begin if you are just getting started."
"learnPersonalizationBecauseQuranMomentum","You have been spending time with the Qur''an recently."
"learnPersonalizationBecauseRamadanRhythm","This fits a lighter Ramadan learning rhythm."
"learnPersonalizationBecauseSafeFallback","This is a steady next step while your recent signals are still light."
"learnPersonalizationBecauseSalahMomentum","Your recent salah learning makes this the right next practice."
"learnPersonalizationBecauseSequencedAfterCompletion","This is the clearest next path after your recent completion."
"learnPersonalizationContinuePathTitle","Continue {pathTitle}"
"learnPersonalizationContinueStepAction","Open step"
"learnPersonalizationFridayBadge","Friday"
"learnPersonalizationMomentumBadge","In progress"
"learnPersonalizationOpenPathAction","Open path"
"learnPersonalizationRamadanBadge","Ramadan"
"learnPersonalizationResumePathTitle","Return to {pathTitle}"
"learnPersonalizationSecondaryTitle","You could also explore"
"learnPersonalizationSectionSubtitle","A calm recommendation based on your recent learning."
"learnPersonalizationSectionTitle","Your Next Step"
"learnPersonalizationStartPathTitle","Start {pathTitle}"
"learnPersonalizationViewPathAction","View path"
"learnQuranBeginnerSoftBridgeBeginAction","Let’s begin"
"learnQuranBeginnerSoftBridgeHintPace","You can read, listen, or simply reflect. Move at a pace that feels sincere and sustainable."
"learnQuranBeginnerSoftBridgeHintStartSmall","Start with one small step. A little steady time with the Qur’an is better than waiting for the perfect moment."
"learnQuranBeginnerSoftBridgeIntroBody","The Qur’an is guidance and mercy. You do not have to read a lot or understand everything at once. One ayah, one moment of listening, or one small reflection is already a meaningful beginning."
"learnQuranBeginnerSoftBridgeIntroTitle","It is okay to begin gently"
"learnQuranBeginnerSoftBridgeSubtitle","You do not need to feel fully prepared before you begin. Start small, stay calm, and let understanding grow over time."
"learnQuranBeginnerSoftBridgeTitle","Begin with the Qur’an"
"learnSeerahCompanionAllPeriodsChip","All periods"
"learnSeerahCompanionConquestDescription","Use this moment to see how the Prophet ﷺ entered Makkah with humility and restraint when outward victory finally arrived."
"learnSeerahCompanionConquestNextExplore","Open the history timeline first, then return to Prophets and Hadith surfaces to keep mercy, leadership, and public reopening connected."
"learnSeerahCompanionConquestSubtitle","Return to the opening where public strength, mercy, and the clearing of falsehood appeared together."
"learnSeerahCompanionConquestTitle","Conquest of Makkah"
"learnSeerahCompanionConquestWhyItMatters","The Conquest of Makkah shows that prophetic victory is not driven by revenge. It is marked by tawhid, mercy, and the disciplined use of power."
"learnSeerahCompanionContinueExploringAction","Open this period"
"learnSeerahCompanionContinueExploringSubtitle","Stay with one Seerah moment long enough to connect its lessons, events, and next steps."
"learnSeerahCompanionContinueExploringTitle","Continue exploring this period"
"learnSeerahCompanionExploreHadithDescription","Use the Hadith surface to stay close to prophetic mercy, leadership, and character as the Seerah unfolds."
"learnSeerahCompanionExploreHadithSubtitle","Open prophetic guidance when Seerah themes need reinforcement through hadith, mercy, and lived sunnah."
"learnSeerahCompanionExploreJourneyDescription","Reopen the full guided Seerah path when you want the whole story in order."
"learnSeerahCompanionExploreQuranDescription","Use Ayah Insights to follow Qur''anic guidance connected to prophetic struggle, trust, and community formation."
"learnSeerahCompanionExploreQuranSubtitle","Open Qur''an-linked study when migration, patience, and prophetic lessons need deeper reflection."
"learnSeerahCompanionExploreSubtitle","Choose the clearest next path when this Seerah moment needs broader study, chronology, or source guidance."
"learnSeerahCompanionExploreTimelineDescription","Move outward into the wider history timeline to see how Hudaybiyyah, the Conquest of Makkah, and the Farewell Hajj connect to the broader Muslim story."
"learnSeerahCompanionExploreTimelineSubtitle","Open the wider history owner when treaties, openings, and public milestones need firmer chronology."
"learnSeerahCompanionExploreTitle","Explore deeper"
"learnSeerahCompanionFarewellHajjDescription","Use Farewell Hajj as the closing movement of the Seerah before the Final Sermon, when the Prophet ﷺ gathered the community in worship and final counsel."
"learnSeerahCompanionFarewellHajjNextExplore","Reopen the Final Sermon stage, then follow Hadith and Qur''an-linked study so the closing pilgrimage stays connected to its lasting guidance."
"learnSeerahCompanionFarewellHajjSubtitle","See the closing pilgrimage where worship, public teaching, and completion of the mission gathered together."
"learnSeerahCompanionFarewellHajjTitle","Farewell Hajj"
"learnSeerahCompanionFarewellHajjWhyItMatters","Farewell Hajj matters because it joins worship, unity, accountability, and final prophetic instruction in one public moment near the completion of the mission."
"learnSeerahCompanionFinalSermonDescription","Return to the final public counsel that gathered worship, dignity, and responsibility into one closing message."
"learnSeerahCompanionFinalSermonNextExplore","Reopen the Final Sermon stage, then follow Hadith and Qur''an-linked study to see how those closing principles remain active in worship, character, and communal responsibility."
"learnSeerahCompanionFinalSermonSubtitle","Return to the Prophet’s closing public guidance and its lasting message."
"learnSeerahCompanionFinalSermonWhyItMatters","The Final Sermon and Farewell Hajj gather worship, dignity, justice, covenant, and trust into one closing Seerah frame that still speaks directly to public Muslim life today."
"learnSeerahCompanionFocusSubtitle","Choose one period when you want the page to stay centered on a specific Seerah moment."
