key,en_value
"quranReaderSubtitle","Read and reflect verse by verse."
"quranRecentSearches","Recent searches"
"quranReflectionsAddNoteAction","Add note"
"quranReflectionsBrowseAction","Browse insights"
"quranReflectionsEditNoteAction","Edit note"
"quranReflectionsEmptyTitle","No reflections saved yet"
"quranReflectionsHubEntrySubtitle","Save ayahs, notes, and small reflection moments."
"quranReflectionsHubEntryTitle","Reflections"
"quranReflectionsNoteFieldHint","Write a short reminder for yourself."
"quranReflectionsNoteFieldLabel","Reflection note"
"quranReflectionsOpenAyahAction","Open ayah"
"quranReflectionsPrivateNoteTitle","Private note"
"quranReflectionsRemoveAction","Remove"
"quranReflectionsSaveAction","Save"
"quranReflectionsSaveNoteAction","Save note"
"quranReflectionsSavedAction","Saved"
"quranReflectionsSourceAyahInsight","Ayah insight"
"quranReflectionsSourceDailyAyah","Daily ayah"
"quranReflectionsSourcePathItem","Guided path"
"quranReflectionsSourceRelatedAyah","Related ayah"
"quranReflectionsSubtitle","Keep ayahs, notes, and short reflection moments together."
"quranReflectionsTitle","Saved reflections"
"quranRemoveBookmark","Remove bookmark"
"quranSavedLocations","saved locations"
"quranSavedNotes","saved notes"
"quranSearchHint","Search by surah, number, or phrase"
"quranSearchNoRecent","No recent searches yet."
"quranSearchNoResults","No matches found. Try a different keyword."
"quranSearchSubtitle","Find surahs and verses quickly."
"quranSetContinueReading","Set as continue reading"
"quranShortSurahsPauseAction","Pause"
"quranSubtitle","Read • Search • Notes"
"quranTapToResume","Tap to resume"
"quranTeachingAdultOverviewCompletedBody","You have reached the end of the current starter path. Gentle review keeps the foundations steady."
"quranTeachingAdultOverviewLastStudiedValue","Last studied: {title}"
"quranTeachingAdultOverviewMilestoneValue","{count} lessons completed so far"
"quranTeachingAdultOverviewNextStepValue","Next step: {title}"
"quranTeachingAdultOverviewProgressBody","A calm summary of what you have covered recently and the clearest next step to continue."
"quranTeachingAdultOverviewReviewPrimaryAction","Continue with review"
"quranTeachingAdultOverviewStartBody","Begin with the foundations, then move into words, phrases, and short Qur''anic recognition at a steady pace."
"quranTeachingAdultOverviewTitle","Arabic overview"
"quranTeachingListenOnlyArabic","Arabic"
"quranTeachingListenOnlyDefaultAudioLabel","Audio"
"quranTranslationBengali","Bengali Translation"
"quranTranslationClearQuran","The Clear Quran"
"quranTranslationDari","Dari Translation"
"quranTranslationIndonesian","Indonesian Translation"
"quranTranslationLabel","Translation"
"quranTranslationPickthallPlaceholder","Pickthall (placeholder)"
"quranTranslationTurkish","Turkish Translation"
"quranTranslationUrdu","Urdu Translation"
"quranUnknownSurah","Unknown surah"
"quranUpdatedContinueReading","Continue reading was updated."
"quranAppHubSearchHint","Search the Holy Qur''an"
"quranAudioV2Title","Audio v2"
"quranAyahInsightsBrowseAction","Browse insights"
"quranAyahInsightsBrowseCount","{count} insights"
"quranAyahInsightsBrowseEmpty","Ayah Insights categories will appear here as enrichment content grows."
"quranAyahInsightsBrowseFilterAll","All"
"quranAyahInsightsBrowseFilterClear","Clear filters"
"quranAyahInsightsBrowseFilterDomains","Domains"
"quranAyahInsightsBrowseFilterLessonType","Lesson type"
"quranAyahInsightsBrowseFilterTags","Tags"
"quranAyahInsightsBrowseHubAction","Open Qur''an Study"
"quranAyahInsightsBrowseLessonTypeConnection","Connection"
"quranAyahInsightsBrowseLessonTypeCoreLesson","Core lesson"
"quranAyahInsightsBrowseLessonTypePracticalTakeaway","Practical takeaway"
"quranAyahInsightsBrowseLessonTypeReflection","Reflection"
"quranAyahInsightsBrowseLessonTypeReminder","Reminder"
"quranAyahInsightsBrowseLessonTypeWarning","Warning"
"quranAyahInsightsBrowseNoResultsSubtitle","Try clearing a filter or choosing a broader theme."
"quranAyahInsightsBrowseNoResultsTitle","No matching insights yet"
"quranAyahInsightsBrowseSubtitle","Explore Qur''anic insights by theme and follow them back into the reader."
"quranAyahInsightsBrowseSubtitleAkhirahAccountability","Judgment, deeds, resurrection, and preparing for the Hereafter."
"quranAyahInsightsBrowseSubtitleCharacterAdab","Conduct, restraint, mercy, justice, and daily adab."
"quranAyahInsightsBrowseSubtitleGuidanceDailyLife","General guidance entries that still support daily reflection and action."
"quranAyahInsightsBrowseSubtitleProphetsLessons","Focused lessons drawn from Qur''anic examples of the prophets."
"quranAyahInsightsBrowseSubtitleSignsInCreation","Creation, nature, and signs that call the heart to reflection."
"quranAyahInsightsBrowseSubtitleWorshipRemembrance","Prayer, dhikr, du''a, sincerity, and practical worshipful life."
"quranAyahInsightsBrowseTagCreation","Creation"
"quranAyahInsightsBrowseTagGuidance","Guidance"
"quranAyahInsightsBrowseTagJustice","Justice"
"quranAyahInsightsBrowseTagMercy","Mercy"
"quranAyahInsightsBrowseTagProphets","Prophets"
"quranAyahInsightsBrowseTagRepentance","Repentance"
"quranAyahInsightsBrowseTagSabr","Patience"
"quranAyahInsightsBrowseTagShukr","Gratitude"
"quranAyahInsightsBrowseTagSigns","Signs"
"quranAyahInsightsBrowseTagSincerity","Sincerity"
"quranAyahInsightsBrowseTagTawakkul","Reliance"
"quranAyahInsightsBrowseTagWorship","Worship"
"quranAyahInsightsBrowseTitle","Browse Ayah Insights"
