key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyAlphabetCompletionReflection,"Do you feel ready to add reading marks, or do you need one more week of alphabet review?",11,0
learningJourneyAlphabetCompletionSection1Body,"You have begun to recognize letter shapes, repeat their sounds, and return to weak points with more calm than when you started.",11,0
learningJourneyAlphabetCompletionSection1Title,What is stable now,11,0
learningJourneyAlphabetCompletionSection2Body,Reading basics adds the marks and sound rules that let letters become real words. That is the natural next step after alphabet familiarity.,11,0
learningJourneyAlphabetCompletionSection2Title,Where to go next,11,0
learningJourneyAlphabetCompletionTakeaway1,Letter familiarity is real progress.,11,0
learningJourneyAlphabetCompletionTakeaway2,Review still matters after the first journey.,11,0
learningJourneyAlphabetCompletionTakeaway3,The next step is learning how reading marks guide sound.,11,0
learningJourneyAlphabetOpenBullet1,Learn a small letter group at a time.,11,0
learningJourneyAlphabetOpenBullet2,Say each letter aloud as you see it.,11,0
learningJourneyAlphabetOpenBullet3,Notice one feature that helps you remember the shape.,11,0
learningJourneyAlphabetOpenReflection,"Which letter shapes already feel familiar, and which ones still blur together?",11,0
learningJourneyAlphabetOpenSection1Body,"Notice the broad shapes of the letters and how groups of letters can be learned together. The goal is recognition first, not perfect pronunciation in one sitting.",11,0
learningJourneyAlphabetOpenSection1Title,Focus of this stage,11,0
learningJourneyAlphabetOpenSection2Body,"Work through a few letters, say their names out loud, and point out which shapes feel similar or different. That keeps your eyes active and your memory engaged.",11,0
learningJourneyAlphabetOpenSection2Title,Simple examples and next step,11,0
learningJourneyAlphabetOpenTakeaway1,Recognition comes before speed.,11,0
learningJourneyAlphabetOpenTakeaway2,Small groups are easier to retain than the whole alphabet at once.,11,0
learningJourneyAlphabetOpenTakeaway3,Active noticing makes letters stick better.,11,0
learningJourneyAlphabetRepeatBullet1,Repeat one small group until it feels lighter.,11,0
learningJourneyAlphabetRepeatBullet2,Listen carefully before copying the sound.,11,0
learningJourneyAlphabetRepeatBullet3,Return to difficult letters more often.,11,0
learningJourneyAlphabetRepeatLessonIntro,Repetition turns alphabet exposure into alphabet memory. Hearing and repeating the sounds helps the letters settle more deeply.,11,0
learningJourneyAlphabetRepeatReflection,Which sound still feels least stable when you say it aloud?,11,0
learningJourneyAlphabetRepeatSection1Body,"This stage is about sound recognition and steady repetition. When your tongue and ear work together, letter recall improves.",11,0
learningJourneyAlphabetRepeatSection1Title,What you are strengthening,11,0
learningJourneyAlphabetRepeatSection2Body,Repeat a short group several times instead of jumping quickly through everything. Slow repetition is more useful than tired repetition.,11,0
learningJourneyAlphabetRepeatSection2Title,How to repeat well,11,0
learningJourneyAlphabetRepeatTakeaway1,Hearing and speaking reinforce each other.,11,0
learningJourneyAlphabetRepeatTakeaway2,Short focused repetition works better than random drilling.,11,0
learningJourneyAlphabetRepeatTakeaway3,"The hardest letters need gentler extra review, not frustration.",11,0
learningJourneyAlphabetReviewActionStep,Open one short alphabet review session and note the two letters you want to remember best this week.,11,0
learningJourneyAlphabetReviewBullet1,Return to weak letters on purpose.,11,0
learningJourneyAlphabetReviewBullet2,Check whether you can recognize letters out of order.,11,0
learningJourneyAlphabetReviewBullet3,Move into reading basics once recognition feels workable.,11,0
learningJourneyAlphabetReviewLessonIntro,Review prepares you for reading. The alphabet becomes useful when you can return to it easily without feeling lost.,11,0
learningJourneyAlphabetReviewReflection,"Are you more ready to move on, or do you need one more calm alphabet pass?",11,0
learningJourneyAlphabetReviewSection1Body,A quick review loop helps you notice which letters stayed clear and which ones still need another pass before reading marks are added.,11,0
learningJourneyAlphabetReviewSection1Title,Use review as reinforcement,11,0
learningJourneyAlphabetReviewSection2Body,"Once the letters feel familiar, you are ready to start reading marks and joined forms. You do not need perfection. You need workable confidence.",11,0
learningJourneyAlphabetReviewSection2Title,Prepare for the next journey,11,0
learningJourneyAlphabetReviewTakeaway1,Review turns exposure into readiness.,11,0
learningJourneyAlphabetReviewTakeaway2,"You can move forward with workable confidence, not perfection.",11,0
learningJourneyAlphabetReviewTakeaway3,Preparation makes the next journey less intimidating.,11,0
learningJourneyDailyDhikrDescription,"A simple journey through morning, evening, and everyday remembrance.",11,0
learningJourneyDailyDhikrTitle,Daily Dhikr,11,0
learningJourneyDailyRoutinesCompletionTakeaway3,Routine becomes worship when it stays connected to Allah.,11,0
learningJourneyDailyRoutinesHabitBuildingSection2Body,Habit building in worship is not about control. It is about building doors back to Allah that are easy to open again and again.,11,0
learningJourneyDailyRoutinesStartDaySection2Body,The goal is not a perfect morning routine. The goal is a repeatable opening that points your heart back to Allah and makes the next good action easier.,11,0
learningJourneyDailyWisdomDescription,A gentle daily touchpoint that keeps learning active without overwhelming the rest of the day.,11,0
learningJourneyDailyWisdomOutcome1,Return to one meaningful reminder each day.,11,0
learningJourneyDailyWisdomOutcome2,Connect daily inspiration to deeper journeys.,11,0
learningJourneyDailyWisdomOutcome3,"Keep learning alive through small, steady moments.",11,0
learningJourneyDailyWisdomSubtitle,"One focused reminder each day from Qur''an, Hadith, reflection, or dhikr.",11,0
learningJourneyDailyWisdomTitle,Daily Wisdom,11,0
learningJourneyDailyWisdomWhyThisMatters,"Small, consistent reminders are often more sustainable than long bursts of learning.",11,0
learningJourneyDetailActionNextJourney,Next journey: {journeyTitle},11,0
learningJourneyDetailLessonCount,{count} lessons,11,0
learningJourneyDifficultyAdvanced,Advanced,11,0
learningJourneyDifficultyBeginner,Beginner,11,0
learningJourneyDifficultyIntermediate,Intermediate,11,0
learningJourneyDuasDailyLifeDescription,"A practical journey through duas for daily routines, transitions, and hopes.",11,0
learningJourneyDuasDailyLifeSubtitle,Daily supplications for everyday moments and needs.,11,0
learningJourneyDuasDailyLifeTitle,Duas for Daily Life,11,0
learningJourneyFaithAngelsReflection,How would your habits change if you stayed more aware that your deeds are being recorded?,11,0
learningJourneyFaithAngelsTakeaway3,Belief in angels nurtures awareness and sincerity.,11,0
learningJourneyFaithAngelsTitle,Angels,11,0
learningJourneyFaithCompletionActionStep,Choose one belief to revisit this week through Qur''an recitation or a prophet story.,11,0
learningJourneyFaithCompletionIntro,You have moved through the core beliefs of Islam. This final stage gathers them into one clear picture and points you toward the next step.,11,0
learningJourneyFaithCompletionReflection,"Which part of your faith feels clearest now, and which part do you want to revisit next?",11,0
learningJourneyFaithCompletionSection1Title,What you now carry,11,0
learningJourneyFaithCompletionSection2Body,"The strongest next step is to let these beliefs deepen through Qur''an, prophetic stories, and daily worship. The more belief is revisited, the more it becomes lived conviction rather than vocabulary.",11,0
learningJourneyFaithCompletionSection2Title,Where to go next,11,0
learningJourneyFaithCompletionTakeaway1,"Faith is a connected worldview, not a list to memorize.",11,0
learningJourneyFaithCompletionTakeaway2,Core beliefs should shape daily worship and character.,11,0
learningJourneyFaithCompletionTakeaway3,The next step is to revisit belief through Qur''an and prophetic guidance.,11,0
learningJourneyFaithFoundationsDescription,"Learn the main beliefs every Muslim should know, with simple explanations, Qur''anic anchors, and clear next steps.",11,0
learningJourneyFaithFoundationsOutcome1,Understand the main beliefs of Islam in a clear way.,11,0
learningJourneyFaithFoundationsOutcome2,"See how belief shapes worship, character, and daily life.",11,0
learningJourneyFaithFoundationsOutcome3,Move from abstract terms to confident understanding.,11,0
learningJourneyFaithFoundationsSubtitle,A calm beginner path through the core beliefs of Islam.,11,0
learningJourneyFaithFoundationsTitle,Foundations of Faith,11,0
learningJourneyFaithFoundationsWhyThisMatters,"Strong belief gives worship direction, patience in difficulty, and clarity in daily choices.",11,0
learningJourneyFaithNamesTakeaway2,"Every name points to perfection, not limitation.",11,0
learningJourneyFaithSection1Title,What this teaches,11,0
learningJourneyFaithSection2Title,What this means in life,11,0
learningJourneyFaithTawheedTakeaway1,Tawheed is the center of Islam.,11,0
learningJourneyFaithTawheedTakeaway2,Ibadah is not only rituals. It includes the state of the heart.,11,0
learningJourneyFaithTawheedTakeaway3,Tawheed gives life a single clear direction.,11,0
learningJourneyFaithTawheedTitle,Tawheed,11,0
learningJourneyFatihahCompletionActionStep,"Before one prayer today, choose one verse from Al-Fatihah and remember its meaning before you begin.",11,0
learningJourneyFatihahCompletionBullet1,Choose one verse theme to remember in salah.,11,0
learningJourneyFatihahCompletionBullet2,Return to the reader when needed.,11,0
learningJourneyFatihahCompletionBullet3,Use this journey as a base for short surahs and prayer meaning.,11,0
learningJourneyFatihahCompletionIntro,"You have moved through Al-Fatihah as praise, worship, and dua. Now the task is to carry those meanings into daily salah.",11,0
learningJourneyFatihahCompletionReflection,Which theme from Al-Fatihah do you most want to carry consciously into salah this week?,11,0
learningJourneyFatihahCompletionSection1Title,What you have learned,11,0
learningJourneyFatihahCompletionSection2Body,"Keep one meaning alive each day in prayer. Let Al-Fatihah become something you understand and feel, not only something you repeat.",11,0
learningJourneyFatihahCompletionSection2Title,What to do next,11,0
learningJourneyFatihahCompletionTakeaway1,"Al-Fatihah contains praise, worship, and dua together.",11,0
learningJourneyFatihahCompletionTakeaway2,Understanding it deepens every rak‘ah.,11,0
learningJourneyFatihahCompletionTakeaway3,The next step is lived remembrance in prayer.,11,0
learningJourneyFatihahDescription,Study Al-Fatihah verse by verse as the opening of the Qur’an and the heart of daily salah.,11,0
learningJourneyFatihahOutcome1,Follow Al-Fatihah verse by verse,11,0
learningJourneyFatihahOutcome2,Connect its words to daily salah,11,0
learningJourneyFatihahOutcome3,Leave with a reflective understanding of its central themes,11,0
learningJourneyFatihahReadBullet1,Praise comes before requests.,11,0
learningJourneyFatihahReadBullet2,"Lordship means care, authority, and nurture.",11,0
learningJourneyFatihahReadReflection,"When you begin prayer, do you feel the praise in these verses or mostly move past them quickly?",11,0
learningJourneyFatihahReadSection1Title,Verse-by-verse focus,11,0
learningJourneyFatihahReadSection2Body,These opening verses teach that prayer begins with praise before asking. They re-center the heart before the rest of the surah unfolds.,11,0
learningJourneyFatihahReadSection2Title,How it enters salah,11,0
learningJourneyFatihahReadTakeaway1,Al-Fatihah begins with gratitude and praise.,11,0
learningJourneyFatihahReadTakeaway3,The opening verses prepare the heart to ask.,11,0
learningJourneyFatihahRecitationBullet1,Mercy and judgment appear together.,11,0
learningJourneyFatihahRecitationBullet3,These verses are central to the meaning of prayer.,11,0
learningJourneyFatihahRecitationReflection,"Which phrase feels strongest to you in prayer right now: mercy, judgment, worship, or seeking help?",11,0
learningJourneyFatihahRecitationSection1Title,Verse-by-verse focus,11,0
learningJourneyFatihahRecitationSection2Body,"Every rak‘ah renews this promise. Salah is not only recitation. It is a repeated declaration of worship, dependence, and accountability.",11,0
learningJourneyFatihahRecitationSection2Title,How it enters salah,11,0
