key,en_value
"quranTranslationSahih","Sahih International"
"quranWordReviewRevealHint","Tap reveal to check transliteration and meaning."
"quranAddNote","Add note"
"quranAyahInsightPathCompleteStepAction","Complete step"
"quranAyahInsightPathCompletedLabel","Completed"
"quranAyahInsightPathDescriptionAkhirahAccountabilityStarter","A balanced path through judgment, deeds, resurrection, urgency, and hope in the Hereafter."
"quranAyahInsightPathDescriptionCharacterAdabStarter","A guided sequence on patience, mercy, justice, forgiveness, and good conduct with people."
"quranAyahInsightPathDescriptionProphetsLessonsStarter","A focused path through prophetic patience, reliance, submission, da''wah, and just leadership."
"quranAyahInsightPathDescriptionSignsInCreationStarter","A calm introduction to the sky, time, rain, and living signs that call the heart to reflection."
"quranAyahInsightPathDescriptionTawhidBeliefStarter","A foundational path through oneness, signs, trust, rejection of shirk, and living with taqwa."
"quranAyahInsightPathReflectionAkhirahAccountabilityStarter","Let each ayah move you toward preparation, not fear alone: deeds, honesty, urgency, and hope all belong here."
"quranAyahInsightPathReflectionCharacterAdabStarter","Read each step as a behavior check: what should change in speech, restraint, fairness, or treatment of others?"
"quranAyahInsightPathReflectionProphetsLessonsStarter","Watch how prophetic examples turn abstract values into lived responses under trial, calling, and responsibility."
"quranAyahInsightPathReflectionSignsInCreationStarter","Notice how repeated signs in the created world invite both wonder and gratitude instead of passing attention."
"quranAyahInsightPathReflectionTawhidBeliefStarter","Keep asking how sound belief changes reliance, sincerity, and the way you read the signs around you."
"quranAyahInsightPathReflectionWorshipRemembranceStarter","Move through these ayahs by asking how remembrance should shape your actual day, not only your thoughts."
"quranAyahInsightPathTitleCharacterAdabStarter","Character & Adab Starter"
"quranAyahInsightPathTitleProphetsLessonsStarter","Prophets & Lessons Starter"
"quranAyahInsightPathTitleSignsInCreationStarter","Signs in Creation Starter"
"quranAyahInsightPathTitleTawhidBeliefStarter","Tawhid & Belief Starter"
"quranAyahInsightPathTitleWorshipRemembranceStarter","Worship & Remembrance Starter"
"quranAyahInsightPathsAction","Open guided paths"
"quranAyahInsightPathsCompletedCount","{completed} of {total} completed"
"quranAyahInsightPathsCount","{count} ayahs"
"quranAyahInsightPathsEmpty","Guided paths will appear here as curated Ayah Insights sequences expand."
"quranAyahInsightPathsEntrySubtitle","Move through a small curated sequence of ayah insights instead of opening entries one by one."
"quranAyahInsightPathsEntryTitle","Follow guided paths"
"quranAyahInsightPathsReflectionFocusTitle","Reflection focus"
"quranAyahInsightPathsStartAction","Start with the first ayah"
"quranAyahInsightPathsSubtitle","Follow short, curated Qur''anic learning sequences built from the existing Ayah Insights content."
"quranAyahInsightPathsTitle","Ayah Insight Paths"
"quranAyahsLabel","ayahs"
"quranBookmark","Bookmark"
"quranBookmarksEmpty","No bookmarks yet. Save an ayah from the reader."
"quranBookmarksPageSubtitle","Saved ayah locations from your reading."
"quranCleanReadingMode","Clean mode"
"quranClearRecent","Clear recent"
"quranConsistencyNote","Consistency in reading"
"quranDailyReflectionBestStreakValue","Best streak: {streak}"
"quranDailyReflectionCompleteAction","Mark complete"
"quranDailyReflectionCompletedAction","Completed"
"quranDailyReflectionFirstTimeHint","Complete a few reflections to build your streak."
"quranDailyReflectionInsightsTitle","Key insight"
"quranDailyReflectionOpenAyahAction","Open ayah"
"quranDailyReflectionPromptTitle","Reflection prompt"
"quranDailyReflectionStarterSubtitle","Start with one ayah, one gentle lesson, and one small reflection."
"quranDailyReflectionStreakValue","{days} day streak"
"quranDailyReflectionSubtitle","Return to today''s ayah and continue your reflection."
"quranDailyReflectionTitle","Daily reflection"
"quranDeleteNote","Delete note"
"quranExplorerSubtitle","Browse surahs and open your reading flow."
"quranExplorerTitle","Surah Explorer"
"quranGuidedPassagesAdultCardStartSubtitle","After snippets and very short surahs, this is the next calm step into slightly longer Qur’anic reading."
"quranGuidedPassagesAdultCardSubtitle","Continue with the passage {passageTitle}."
"quranGuidedPassagesAdultCardTitle","Guided longer passages"
"quranGuidedPassagesAdultContinueAction","Continue guided passages"
"quranGuidedPassagesAdultIntroSubtitle","These selections extend the bridge beyond very short surahs while keeping ayah-by-ayah support, replay, and simple highlighting."
"quranGuidedPassagesAdultIntroTitle","A calm step into longer guided passages"
"quranGuidedPassagesAdultPageSubtitle","Move from short surahs into slightly longer guided passages without leaving the beginner bridge."
"quranGuidedPassagesAdultPageTitle","Guided Qur’an passages"
"quranGuidedPassagesAdultReviewAction","Review guided passages"
"quranGuidedPassagesAdultStartAction","Start guided passages"
"quranGuidedPassagesAyahCountValue","{count} ayahs in focus"
"quranGuidedPassagesBridgeAdultSubtitle","After short surahs, continue into the guided passage {passageTitle}."
"quranGuidedPassagesBridgeKidsSubtitle","You have reached the next reading step. Continue with the guided passage {passageTitle}."
"quranGuidedPassagesCountValue","{opened} of {total} guided passages opened"
"quranGuidedPassagesFlowHint","Let the audio and highlighting carry you through the passage one ayah at a time."
"quranGuidedPassagesFullSubtitle","Read the whole surah calmly from beginning to end with guided support."
"quranGuidedPassagesFullTitle","Full Al-Fatihah"
"quranGuidedPassagesKidsCardStartSubtitle","After short surahs, these slightly longer passages help children feel, “I can keep reading.”"
"quranGuidedPassagesKidsCardSubtitle","Keep reading with the passage {passageTitle}."
"quranGuidedPassagesKidsCardTitle","Guided longer passages"
"quranGuidedPassagesKidsContinueAction","Continue guided passages"
"quranGuidedPassagesKidsIntroSubtitle","These passages stay short enough to feel safe, but long enough to help full Qur’an reading feel more real."
"quranGuidedPassagesKidsIntroTitle","A gentle next reading step"
"quranGuidedPassagesKidsPageSubtitle","Take one more calm step from very short surahs into slightly longer Qur’an reading."
"quranGuidedPassagesKidsPageTitle","Longer Qur’an passages"
"quranGuidedPassagesKidsReviewAction","Review guided passages"
"quranGuidedPassagesKidsStartAction","Start guided passages"
"quranGuidedPassagesKnownSnippetsSubtitle","These are the shorter phrases you have already recognized before moving into this longer passage."
"quranGuidedPassagesKnownSnippetsTitle","Already familiar from earlier bridge steps"
"quranGuidedPassagesNextAction","Next passage"
"quranGuidedPassagesOpenReaderAction","Open in Qur’an reader"
"quranGuidedPassagesOpeningSubtitle","The opening ayahs that already overlap your first recognition snippets."
"quranGuidedPassagesOpeningTitle","Al-Fatihah opening"
"quranGuidedPassagesPassageMeta","{surahName} • Ayahs {startAyah}-{endAyah}"
"quranGuidedPassagesPauseAction","Pause"
"quranGuidedPassagesPlayAction","Play passage"
"quranGuidedPassagesProgressionSubtitle","Begin with a familiar opening from Al-Fatihah, then complete the rest, then read the full surah with calm support."
"quranGuidedPassagesProgressionTitle","Step-by-step guided passages"
"quranGuidedPassagesReadyFromShortSurahs","Built from your short-surah practice"
"quranGuidedPassagesResponseSubtitle","The answering and guiding ayahs that complete the core prayer passage."
"quranGuidedPassagesResponseTitle","Al-Fatihah closing"
"quranGuidedPassagesStageOneSubtitle","Read the opening ayahs of Al-Fatihah using phrases you already know from the earlier bridge."
"quranGuidedPassagesStageOneTitle","Stage 1: Familiar opening"
"quranGuidedPassagesStageThreeSubtitle","Read the whole of Al-Fatihah in one guided flow with replay and highlighting."
"quranGuidedPassagesStageThreeTitle","Stage 3: Full surah confidence"
"quranGuidedPassagesStageTwoSubtitle","Add the closing ayahs so Al-Fatihah feels like one connected reading instead of separate snippets."
"quranGuidedPassagesStageTwoTitle","Stage 2: Complete the response"
"quranGuidedPassagesStartGently","Start with a familiar opening"
"quranHubContinueSectionTitle","Continue learning"
"quranHubReadQuranSectionTitle","Read Qur''an"
"quranLearningContinueEmptySubtitle","Your recent ayah progress will appear here."
"quranLearningContinueLastAyahAction","Open last ayah"
"quranLearningContinueTitle","Continue learning"
"quranLearningShareAction","Share"
"quranLearningShareAttribution","Shared from Path of Nur"
"quranLearningShareLessonsLabel","Lessons"
"quranLearningShareReflectionAyahOnly","Share ayah only"
"quranLearningShareReflectionAyahOnlySubtitle","Share the ayah reference without your private note."
"quranLearningShareReflectionExcerpt","Share ayah and note"
