key,en_value
"quranAyahInsightsTypeScientificReflection","Creation Reflection"
"quranAyahInsightsTypeSignsInCreation","Signs in Creation"
"quranAyahInsightsTypeWorldCreationLesson","World & Creation"
"quranAyahInsightsTypeWorshipLesson","Worship Lesson"
"quranDiscoverSectionSubtitle","Keep the summary, topics, pathways, current moment, and your next recommendation together in one calm place."
"quranDiscoverSectionTitle","Discover the Qur’an"
"quranHubDailyLightTitle","Today’s Light"
"quranHubFatihahJourneySubtitle","Begin with the surah you recite every day and connect it to salah."
"quranHubFatihahJourneyTitle","Understanding Al-Fatihah"
"quranHubJourneyOfQuranSubtitle","Open the Book, navigate it, and build a first relationship."
"quranHubJourneyOfQuranTitle","Journey of the Qur’an"
"quranHubJourneysSubtitle","Follow a guided path when you want structure, continuity, and clearer next steps."
"quranHubJourneysTitle","Journeys"
"quranHubMemorizeSubtitle","Review and strengthen recall through the current memorization tools."
"quranHubMemorizeTitle","Memorize"
"quranHubModesSubtitle","Choose the Qur’an mode that fits what you want to do right now."
"quranHubModesTitle","Modes"
"quranHubNotesSubtitle","Return to saved reflections, highlights, and verse-linked notes."
"quranHubNotesTitle","Notes"
"quranHubOpenVerseAction","Open Verse"
"quranHubReadSubtitle","Open the reader from where you last left off or begin a new passage."
"quranHubReadTitle","Read"
"quranHubRecommendationContinuePathTitle","Continue {path}"
"quranHubRecommendationContinueSurahTitle","Continue Surah {surah}"
"quranHubRecommendationExploreThemeTitle","Explore the theme of {theme}"
"quranHubRecommendationReviewTitle","Review your memorization"
"quranHubRecommendationsTitle","Recommended for you"
"quranHubRelatedToolsSubtitle","Keep secondary Qur’an tools close without crowding the main flow."
"quranHubRelatedToolsTitle","Related Tools"
"quranHubShortSurahsJourneySubtitle","Use the shorter surahs as a bridge between recitation, prayer, and meaning."
"quranHubShortSurahsJourneyTitle","Short Surahs"
"quranHubStudySubtitle","Use this page for explanation, reflection, guided paths, and memorization without leaving the Qur’an section."
"quranHubStudyTitle","Learning focus"
"quranHubStudyToolsSubtitle","Move from reading into search, surah themes, and topic-based exploration without leaving the Qur’an hub."
"quranHubStudyToolsTitle","Deeper Study"
"quranHubSubtitle","A calm entry for reading, study, memorization, words, topics, and notes."
"quranHubTitle","Qur’an"
"quranHubTopicsSubtitle","Follow themes and verses without browsing the whole text first."
"quranHubTopicsTitle","Topics"
"quranHubUniverseToolTitle","Universe"
"quranHubWordToolsSubtitle","Build vocabulary and return to pinned words when you want a lighter study loop."
"quranHubWordToolsTitle","Word Study"
"quranHubWordsSubtitle","Learn recurring Qur’anic vocabulary and build recognition gradually."
"quranHubWordsTitle","Words"
"quranKnowledgeSearchAction","Open knowledge search"
"quranKnowledgeSearchEmptySubtitle","Search across Ayah Insights, guided paths, and surah pages, or browse one of the curated collections below."
"quranKnowledgeSearchEmptyTitle","Start with a theme, tag, ayah reference, or surah"
"quranKnowledgeSearchEntrySubtitle","Search Ayah Insights, guided paths, and surah pages from one calm surface."
"quranKnowledgeSearchEntryTitle","Search Qur''an knowledge"
"quranKnowledgeSearchHint","Search topics, tags, ayahs, paths, or surahs..."
"quranKnowledgeSearchNoResultsSubtitle","Try a broader topic, a shorter ayah reference, or browse one of the collections below."
"quranKnowledgeSearchNoResultsTitle","No Qur''an knowledge matches yet"
"quranKnowledgeSearchSectionAyahInsights","Ayah Insights"
"quranKnowledgeSearchSectionPaths","Learning Paths"
"quranKnowledgeSearchSectionSurahInsights","Surah Insights"
"quranKnowledgeSearchSubtitle","Search across Ayah Insights, guided paths, and surah insight pages by topic, tag, title, ayah reference, or surah name."
"quranKnowledgeSearchTitle","Qur''an Knowledge Search"
"quranKnowledgeSearchTypeAyahInsight","Ayah insight"
"quranKnowledgeSearchTypePath","Learning path"
"quranKnowledgeSearchTypeSurahInsight","Surah insight"
"quranLearnMoreInsightsTitle","Ayah Insights"
"quranLearnMoreSectionTitle","Learn More"
"quranLearningExploreThemeTitle","Explore another theme"
"quranLearningMarkStudiedAction","Mark studied"
"quranLearningMoreInDomainTitle","More in this theme"
"quranLearningNextInPathTitle","Next in your path"
"quranLearningResumePathAction","Resume path"
"quranLearningReturnToDomainAction","Return to theme"
"quranLearningStartPathAction","Start path"
"quranLearningStudiedAction","Studied"
"quranLearningSuggestedEmptySubtitle","Suggested ayahs will appear once you explore a little more."
"quranLearningSuggestedTitle","Suggested next"
