key,en_value
"learnHadithWorshipTitle","Ibadah and Intention"
"learnHubCategoryFoundationsSubtitle","Who is Allah, core knowledge, and understanding Islam belong together here."
"learnHubCategoryQuizzesGamesTitleText","Quizzes & Games"
"learnHubSubcategoryKidsArabicLearningSubtitle","Letters, review, and early Arabic learning stay grouped here for children."
"learnHubSubcategoryKidsArabicLearningTitle","Arabic Learning"
"learnHubSubcategoryKidsHadithStoriesSubtitle","Open story time inspired by authentic hadith and kind daily moments."
"learnHubSubcategoryKidsHadithStoriesTitle","Hadith Stories"
"learnHubSubcategoryKidsHadithSubtitle","Short, gentle hadith cards with simple meanings and daily lessons."
"learnHubSubcategoryKidsHadithTitle","Hadith for Kids"
"learnHubSubcategoryKidsQuranSubtitle","Browse every surah in a simpler Qur’an experience for younger learners."
"learnHubSubcategoryKidsQuranTitle","Qur’an for Kids"
"learnHubSubcategoryWhoIsAllahSubtitle","Belief basics and the first questions of faith."
"learnHubSubcategoryWhoIsAllahTitle","Who is Allah?"
"learnLifeCharacter","Character"
"learnLifeChildren","Children"
"learnLifeGratitude","Gratitude"
"learnLifeJustice","Justice"
"learnLifeMarriage","Marriage"
"learnLifeParents","Parents"
"learnLifePatience","Patience"
"learnLifeSectionSubtitle","Practical topics grounded in revelation."
"learnLifeWealth","Wealth"
"learnMetadataQuestionCount","{count, plural, =0 {0 questions} =1 {1 question} other {{count} questions}}"
"learnMetadataQuestionsInPool","{count, plural, =0 {0 questions in pool} =1 {1 question in pool} other {{count} questions in pool}}"
"learnNotesBrowseActionSubtitle","Open the full notes library"
"learnNotesBrowseAllAction","Browse all notes"
"learnNotesBrowseAllSubtitle","Search and scan your Qur’an notes, journal reflections, and saved learning thoughts in one place."
"learnNotesBrowseAllTitle","Browse All Notes"
"learnNotesBrowseEmptyTitle","Nothing matches this view yet"
"learnNotesBrowseSearchHint","Search by note text, tag, source, or reference"
"learnNotesBrowseSearchLabel","Search notes"
"learnNotesCategoriesSubtitle","Notes are grouped automatically from their source so the library stays tidy without extra setup."
"learnNotesCategoriesTitle","Categories"
"learnNotesCategoryAll","All"
"learnNotesCategoryGeneral","General"
"learnNotesCategoryJournal","Journal"
"learnNotesCategoryLearning","Learning"
"learnNotesCategoryQuran","Qur’an"
"learnNotesCategoryReflection","Reflection"
"learnNotesCategoryWorship","Worship"
"learnNotesContinueSubtitle","Resume your latest learning thread."
"learnNotesContinueTitle","Continue Learning"
"learnNotesHighlightsSubtitle","Collected passages and marked excerpts."
"learnNotesHighlightsTitle","Highlights"
"learnNotesJournalSubtitle","personal timeline entries"
"learnNotesJournalTitle","Journal"
"learnNotesOpenJournalAction","Open journal"
"learnNotesQuranReflectionsSubtitle","saved Qur’an reflection entries"
"learnNotesQuranReflectionsTitle","Qur’an Reflections"
"learnNotesReflectionsSubtitle","Journal-style reflection entries."
"learnNotesReflectionsTitle","Reflections"
"learnNotesSavedSubtitle","Your authored notes and study snippets."
