key,en_value
"quranTeachingDailyReviewEmptyStart","Start a few lessons and your daily review will appear here."
"quranTeachingDailyReviewFalse","False"
"quranTeachingDailyReviewItemUnavailable","This review item is no longer available."
"quranTeachingDailyReviewMoreLaterAction","Review more later"
"quranTeachingDailyReviewNeedAnotherPassAction","Need another pass"
"quranTeachingDailyReviewNextItemAction","Next review item"
"quranTeachingDailyReviewRememberedAction","I remembered it"
"quranTeachingDailyReviewReplayAudioAction","Replay audio"
"quranTeachingDailyReviewRetryFeedback","Not quite. This one will return sooner."
"quranTeachingDailyReviewRevealAction","Reveal"
"quranTeachingDailyReviewTrue","True"
"quranTeachingListenOnlyAudioAvailability","{available} of {total} items currently have local audio."
"quranTeachingListenOnlyAudioOnly","Audio only"
"quranTeachingListenOnlyAudioUnavailable","Audio for this item is not added yet."
"quranTeachingListenOnlyAutoPlayNextItem","Auto-play next item"
"quranTeachingListenOnlyCheckingLocalAudio","Checking local audio..."
"quranTeachingListenOnlyChoosePack","Choose a pack"
"quranTeachingListenOnlyContentSetLabel","Content set"
"quranTeachingListenOnlyDefaultContextLabel","Listen Only"
"quranTeachingListenOnlyEstimatedPackLength","Estimated pack length: {seconds}s"
"quranTeachingListenOnlyListeningFocus","Listening focus"
"quranTeachingListenOnlyModeOptionsTitle","Mode options"
"quranTeachingListenOnlyProgress","{current} of {total}"
"quranTeachingListenOnlyRepeatCurrentItem","Repeat current item"
"quranTeachingListenOnlyReplayAction","Replay"
"quranTeachingListenOnlyReplayCurrentItem","Replay current item"
"quranTeachingListenOnlySelectPackToBegin","Select a listening set to begin."
"quranTeachingListenOnlyShuffleOrder","Shuffle order"
"quranTeachingListenOnlySpeedLabel","Speed"
"quranTeachingListenOnlySubtitle","Low-distraction listening for walks, chores, bedtime review, and calm repetition."
"quranTeachingListenOnlyVisualMode","Visual mode"
"quranWordTranslationBetaSubtitle","This feature is currently in Beta and may still be refined."
"quranWordTranslationBetaTitle","Word by Word Translation (Beta)"
"quranAyahNumberLabel","Ayah {ayah}"
"quranDailyRevisionEmpty","No checkpoints yet. Add one while reviewing ayahs."
"quranDailyRevisionPlanLabel","Daily revision plan ({count} ayahs)"
"quranHifzCheckpointTooltip","Hifz checkpoint"
"quranHifzRevealModeFirstWord","First word"
"quranHifzRevealModeFull","Reveal"
"quranHifzRevealModeHidden","Hide"
"quranHighlightHint","Key reminder"
"quranHighlightLabel","Highlight"
"quranHighlightLabelInput","Highlight label"
"quranLoopCountLabel","Loop count"
"quranLoopRangeHint","Set both range edges to enable loop playback."
"quranNoneLabel","None"
"quranNotesFolderDefault","General"
"quranNotesFolderHint","General"
"quranNotesFolderLabel","Folder"
"quranNotesFoldersTagsTitle","Folders and tags"
"quranNotesTagLabel","Tag"
"quranNotesTagsHint","gratitude, dua, patience"
"quranNotesTagsLabel","Tags"
"quranOpenReviewDeckLabel","Open review deck ({count})"
"quranPinForReviewLabel","Pin for review"
"quranPlayAyahTooltip","Play ayah"
"quranPlayLoopLabel","Play loop"
"quranReaderAudioDownloadNote","Audio is streamed from trusted reciters. Download only surahs you need to keep app size low."
"quranReaderAudioSettingsTitle","Audio Settings"
"quranReaderBackgroundPlaybackSubtitle","Enables media controls on lock screen / notification and Dynamic Island (iOS)."
"quranReaderBackgroundPlaybackTitle","Background playback + lock-screen controls"
"quranReaderContinueRecitationSubtitle","Resume from ayah {ayahNumber} at {position}"
"quranReaderContinueRecitationTitle","Continue Recitation"
"quranReaderDownloadFailed","Download failed: {error}"
"quranReaderDownloadInProgressLabel","Downloading {downloadedAyahs}/{totalAyahs}"
"quranReaderDownloadRemoved","Downloaded surah audio removed."
"quranReaderDownloadSuccess","Surah audio downloaded successfully."
"quranReaderDownloadSurahAction","Download Surah"
"quranReaderFollowModeLabel","Follow mode"
"quranReaderFollowSuspendedLabel","Follow is paused while you browse."
"quranReaderLiveWordSyncSubtitle","Beta testing: timing and highlighting may be imperfect on some verses."
"quranReaderLiveWordSyncTitle","Live word sync highlight (Beta)"
"quranReaderMemorizationSettingsTitle","Memorization Settings"
"quranReaderNextAyahAction","Next ayah"
"quranReaderPlaybackSpeedLockedHint","Locked to 1.00x while Live word sync highlight is enabled."
"quranReaderPlaybackSpeedTitle","Audio Speed"
"quranReaderPreviousAyahAction","Previous ayah"
"quranReaderReciterLabel","Reciter"
"quranReaderReciterSampleAction","Sample"
"quranReaderReciterSampleError","Unable to play sample right now: {error}"
"quranReaderRedDiacriticsSubtitle","Color pesh, zabar, kasrah and other harakat in red."
"quranReaderRedDiacriticsTitle","Red diacritics (harakat)"
"quranReaderRemoveDownloadAction","Remove Download"
"quranReaderRestartAyahAction","Restart ayah"
"quranReaderResumeAction","Resume"
