key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyWisdomShortLessonReflection,"Which kind of daily reminder opens you most: a verse, a hadith, a story, or a reflection question?",12,0
learningJourneyWisdomShortLessonSection1Body,"Whether the source is a hadith, a verse, a prophetic event, or a reflection prompt, the explanation should stay calm, practical, and beginner-friendly. That keeps Daily Wisdom coherent.",12,0
learningJourneyWisdomShortLessonSection1Title,Consistent explanation style,12,0
learningJourneyWisdomShortLessonSection2Body,"A short lesson should end with a next step. That next step might be a journey, a tool, a short act of worship, or a practical decision.",12,0
learningJourneyWisdomShortLessonSection2Title,Where the lesson should lead,12,0
learningJourneyWisdomShortLessonTakeaway1,"Good daily teaching is clear, not crowded.",12,0
learningJourneyWisdomShortLessonTakeaway2,A short lesson should help the heart and mind together.,12,0
learningJourneyWisdomShortLessonTakeaway3,Daily Wisdom should naturally point into the wider journey system.,12,0
learningJourneyWisdomShortLessonTitle,Turn wisdom into a short lesson,12,0
learningJourneyWordsPatternsActionStep,Choose one small word family to notice in your next recitation or reading session.,12,0
learningJourneyWordsPatternsBullet1,Group words by theme instead of only by list order.,12,0
learningJourneyWordsPatternsBullet2,Reconnect reviewed words to real verses when possible.,12,0
learningJourneyWordsPatternsBullet3,Use repeated patterns to reinforce memory gently.,12,0
learningJourneyWordsPatternsIntro,"Words become easier to remember when you notice families, themes, and repeated meaning clusters instead of isolated entries.",12,0
learningJourneyWordsPatternsReflection,Which theme would you like to build a small Qur’anic word group around first?,12,0
learningJourneyWordsPatternsReviewSuggestion,Come back tomorrow and see whether the same meanings appear again in familiar verses.,12,0
learningJourneyWordsPatternsSection1Body,"Try collecting words around worship, mercy, guidance, gratitude, or the Hereafter. Grouping by theme helps memory attach words to meaning.",12,0
learningJourneyWordsPatternsSection1Title,Grouping by meaning,12,0
learningJourneyWordsPatternsSection2Body,"Notice when related words keep returning in similar contexts. That repetition is a memory tool, not an accident.",12,0
learningJourneyWordsPatternsSection2Title,Reinforcement through patterns,12,0
learningJourneyWordsPatternsTakeaway1,Meaning groups make vocabulary easier to retain.,12,0
learningJourneyWordsPatternsTakeaway2,Patterns help the Qur’an feel more connected.,12,0
learningJourneyWordsPatternsTakeaway3,Memory grows when words are linked to themes and contexts.,12,0
learningJourneyWordsPatternsTitle,Patterns and meaning groups,12,0
learningJourneyWordsReviewBullet1,"Review a little, but review often.",12,0
learningJourneyWordsReviewBullet2,Return to weak words before adding many new ones.,12,0
learningJourneyWordsReviewBullet3,Tie review to a moment you already use for learning.,12,0
learningJourneyWordsReviewIntro,Vocabulary only becomes useful when it is reviewed often enough to stay active in memory.,12,0
learningJourneyWordsReviewReflection,Which review habit would make your Qur’anic vocabulary more stable this month?,12,0
learningJourneyWordsReviewSection1Body,Words fade quickly when they are only seen once. Review brings them back until recognition feels natural rather than forced.,12,0
learningJourneyWordsReviewSection1Title,Why review matters,12,0
learningJourneyWordsReviewSection2Body,Use short frequent review sessions instead of long exhausting ones. Recognition grows through return and repetition.,12,0
learningJourneyWordsReviewSection2Title,A calm memory loop,12,0
learningJourneyWordsReviewSuggestion,"Use short, frequent review instead of long sessions so recognition stays light and steady.",12,0
learningJourneyWordsReviewTakeaway1,Retention grows through steady return.,12,0
learningJourneyWordsReviewTakeaway2,A calm review loop is better than overloaded memorization.,12,0
learningJourneyWordsReviewTakeaway3,Weak areas become easier when revisited without pressure.,12,0
learningJourneyWordsReviewTitle,Review and retain,12,0
learningJourneyWordsTopBullet1,Start with small repeated groups of words.,12,0
learningJourneyWordsTopBullet2,Use repetition to recognize words in real verses.,12,0
learningJourneyWordsTopBullet3,Let frequency guide what you learn first.,12,0
learningJourneyWordsTopIntro,Recurring Qur’anic words are one of the fastest ways to increase familiarity and comprehension.,12,0
learningJourneyWordsTopReflection,What kind of word set would feel easiest for you to revisit consistently?,12,0
learningJourneyWordsTopReviewSuggestion,"Review a small word set again tomorrow, then notice those words the next time you read Qur’an.",12,0
learningJourneyWordsTopSection1Body,"When you keep meeting the same words, the Qur’an starts feeling less distant. A small vocabulary can unlock many ayat more than people expect.",12,0
learningJourneyWordsTopSection1Title,Why recurring words help,12,0
learningJourneyWordsTopSection2Body,"Choose a small cluster, repeat it often, and connect each word to one simple meaning instead of trying to collect too many terms at once.",12,0
learningJourneyWordsTopSection2Title,How to begin well,12,0
learningJourneyWordsTopTakeaway1,Recurring words create fast progress in comprehension.,12,0
learningJourneyWordsTopTakeaway2,Small focused sets are easier to retain.,12,0
learningJourneyWordsTopTakeaway3,"Vocabulary should support real Qur’an reading, not remain isolated lists.",12,0
learningJourneyWordsTopTitle,Open top Qur’anic words,12,0
learningPathJourneyPhaseLabel,Phase: {phaseTitle},12,0
learningPathPhaseSeekerArabicDescription,Build reading fluency and recurring word recognition.,12,0
learningPathPhaseSeekerArabicTitle,Arabic,12,0
learningPathPhaseSeekerIntegrationTitle,Integration,12,0
learnGlossaryCardSubtitle,Keep common Islamic terms close by while you build your foundations.,11,0
learnGlossaryCardTitle,Glossary,11,0
learnGlossaryCategoryAll,All,11,0
learnGlossaryCategoryPlaces,Places,11,0
learnGlossaryCategoryPractice,Practice,11,0
learnGlossaryCategorySources,Sources,11,0
learnGlossaryExpandedMeaningTitle,A little more,11,0
learnGlossaryInlineHintBody,Tap or long-press a term to open a short definition without leaving the page.,11,0
learnGlossaryInlineHintTitle,Quick lookup,11,0
