key,en_value
"quranTeachingBeginnerWordsTitle","Beginner words"
"quranTeachingBeginnerWordsSubtitle","Short Arabic words that help you move from letters into joined reading."
"quranTeachingBeginnerWordsEmpty","Beginner words will appear here when the shared set is ready."
"quranTeachingBeginnerWordsHowToReadTitle","How to read these words"
"quranTeachingBeginnerWordsHowToReadSubtitle","Listen to the word, notice how each letter changes inside the word, then move calmly to the next example."
"quranTeachingBeginnerWordsCount","{count} shared words"
"quranTeachingBeginnerWordsJoinedLabel","Joined-letter view"
"quranTeachingBeginnerWordsAudioLabel","Tap to hear pronunciation"
"quranTeachingBeginnerWordsReplayAction","Play word audio"
"quranTeachingBeginnerWordsPlaying","Playing {word}"
"quranTeachingBeginnerWordsAudioUnavailable","Audio for this word is not available yet."
"quranTeachingBeginnerWordsSource","Source: {reference}"
"quranTeachingBeginnerWordsJoinedLettersTitle","Letters inside the word"
"quranTeachingBeginnerWordsJoinedLettersSubtitle","See the isolated letter beside the form it takes inside this word."
"quranTeachingBeginnerWordsReadingHelperTitle","Reading helper"
"quranTeachingBeginnerWordsReadingHelperSubtitle","Use these letters as a calm guide while you sound the word out."
"quranTeachingBeginnerWordsPreviousAction","Previous word"
"quranTeachingBeginnerWordsNextAction","Next word"
"quranTeachingBeginnerWordsSectionSubtitle","Move from letter recognition into short readable words with audio and joined-letter support."
"quranTeachingBeginnerWordsPreview","Start with {word}: {meaning}"
"quranTeachingBeginnerWordsOpenAction","Open beginner words"
"quranTeachingBeginnerWordsModuleSubtitle","Use the shared beginner word set to connect letters, sound, and joined reading."
"quranTeachingBeginnerWordsOpenInlineHint","Open this word in the beginner words guide"
"quranTeachingPathTitle","Your reading path"
"quranTeachingPathSubtitle","Choose your level so lessons open in a calm and useful order."
"quranTeachingPathActiveLevel","{level} • {mode}"
"quranTeachingProgressSummary","{completed} of {total} lessons completed"
"quranTeachingVisualModeOn","Visual mode on"
"quranTeachingVisualModeOff","Standard mode"
"quranTeachingContinueTitle","Continue where you left off"
"quranTeachingContinueEmpty","Start with the recommended lesson below."
"quranTeachingStartLessonAction","Start lesson"
"quranTeachingContinueLessonAction","Continue lesson"
"quranTeachingRecommendedTitle","Recommended next"
"quranTeachingRecommendedEmpty","All caught up"
"quranTeachingOpenAction","Open"
"quranTeachingVisualModeTitle","Visual mode"
"quranTeachingVisualModeSubtitle","Picture anchors and gentler prompts for visual learners."
"quranTeachingVisualModeToggle","Use visual mode"
"quranTeachingOpenListenOnlyAction","Open Listen Only"
"quranTeachingReviewMistakesTitle","Review mistakes"
"quranTeachingReviewMistakesEmpty","No review items right now."
"quranTeachingReviewMistakesSummary","{count} items waiting for another pass."
"quranTeachingOpenReviewAction","Open review"
"quranTeachingPracticeNowAction","Practice now"
"quranTeachingReviewProgressTitle","Review progress"
"quranTeachingReviewLetters","{count} letters reviewed"
"quranTeachingReviewWords","{count} words recognized"
"quranTeachingReviewPhrases","{count} phrases practiced"
"quranTeachingReviewDue","{count} items due"
"quranTeachingReviewTricky","{count} tricky items"
"quranTeachingReviewMastered","{count} mastered"
"quranTeachingPracticeRecommendationsTitle","Practice recommendations"
"quranTeachingPracticeRecommendationWeakAreaTitle","Practice weak areas"
"quranTeachingPracticeRecommendationWeakAreaSubtitle","A few recent misses suggest this area needs another calm pass."
"quranTeachingPracticeRecommendationHarakatTitle","Review harakat sounds"
"quranTeachingPracticeRecommendationSimilarLettersTitle","Practice similar letters"
"quranTeachingPracticeRecommendationWordsTitle","Revisit learned words"
"quranTeachingPracticeRecommendationPhrasesTitle","Read short phrases again"
"quranTeachingPracticeRecommendationReadingRulesTitle","Go over reading rules"
"quranTeachingPracticeRecommendationLightTitle","Keep today light"
"quranTeachingPracticeRecommendationWordsSubtitle","{count} word items are ready for another look."
"quranTeachingPracticeRecommendationPhrasesSubtitle","{count} phrase items are ready for review."
"quranTeachingPracticeRecommendationLightSubtitle","A short mixed review will keep recent lessons fresh."
"quranTeachingRecentlyLearnedTitle","Recently learned"
"quranTeachingPracticeAgainTitle","Practice again"
"quranTeachingPracticeAgainSubtitle","These lessons need one more calm pass."
"quranTeachingDailyReviewCardEmptyTitle","Daily review"
"quranTeachingDailyReviewCardCompleteTitle","Today’s review is complete"
"quranTeachingDailyReviewCardContinueTitle","Continue today’s practice"
"quranTeachingDailyReviewCardReadyTitle","Review for today"
"quranTeachingDailyReviewCardEmptySubtitle","Start a few lessons and your daily review will appear here."
"quranTeachingDailyReviewCardNothingDueSubtitle","No review due right now. A new lesson will build your next session."
"quranTeachingDailyReviewCardProgressSubtitle","{current} of {total} items completed. {summary}"
"quranTeachingDailyReviewCardPracticeMoreAction","Practice more"
"quranTeachingDailyReviewCardOpenAction","Open review"
"quranTeachingDailyReviewCardContinueAction","Continue today’s practice"
"quranTeachingDailyReviewCardStartAction","Start review"
"quranTeachingDailyReviewCardEstimatedMinutes","{minutes} min"
"quranTeachingDailyReviewCardItemProgress","{current} / {total} items"
"quranTeachingDailyReviewCardItemCount","{count} items"
"quranTeachingMemoryStateNew","New"
"quranTeachingMemoryStatePracticing","Practicing"
"quranTeachingMemoryStateFamiliar","Familiar"
"quranTeachingMemoryStateRecognized","Recognized"
"quranTeachingMemoryStateMastered","Mastered"
"quranTeachingReviewSessionHeaderTitle","Today’s practice"
"quranTeachingReviewSessionHeaderProgress","{current} of {total} completed"
"quranTeachingReviewCompletionTitle","Nice progress."
"quranTeachingReviewCompletionCorrectCount","Correct or remembered: {count}"
"quranTeachingReviewCompletionNeedsMoreCount","Still due soon: {count}"
"quranTeachingReviewCompletionBody","A few items are getting stronger. The next short review will bring back anything that still needs another pass."
"quranTeachingReviewPageIntroTitle","A few items need another pass."
"quranTeachingReviewPageEmptyBody","No review items right now. Your recent practice is looking good."
"quranTeachingReviewPageCountBody","{count} items waiting across your recent quizzes."
"quranTeachingReviewPageSessionTitle","Review session"
"quranTeachingReviewPageFilterAll","Review all"
"quranTeachingReviewPageFilterQuick","Quick 5"
"quranTeachingReviewPageFilterRecent","Recent"
"quranTeachingReviewPageFilterHardest","Hardest"
"quranTeachingReviewPageStartQuickAction","Start quick review"
"quranTeachingReviewPageStartAction","Start review"
"quranTeachingReviewPageFilterEmpty","No items match this review filter right now."
"quranTeachingReviewPageItemCounter","Item {current} of {total}"
"quranTeachingReviewPageReplayAudioAction","Replay audio"
"quranTeachingReviewPageCheckAnswerAction","Check answer"
"quranTeachingReviewPageNextItemAction","Next review item"
"quranTeachingReviewPageCompleteTitle","Review complete"
"quranTeachingReviewPageImprovedCount","Items improved: {count}"
"quranTeachingReviewPageStillNeedsCount","Still need another pass: {count}"
"quranTeachingReviewPageStartAnotherAction","Start another review"
"quranTeachingReviewPageTrueAction","True"
"quranTeachingReviewPageFalseAction","False"
"quranTeachingLearningPathTitle","Learning path"
"quranTeachingRecommendedBadge","Recommended"
"quranTeachingModuleLocked","Locked until earlier guided lessons are complete"
"quranTeachingModuleCompletion","{percent}% complete"
"quranTeachingChooseLevelTitle","Choose your reading level"
"quranTeachingChooseLevelSubtitle","This helps Path of Nur open lessons in the right order and keep the pace calm for your level."
"quranTeachingModeGuided","Guided unlocks"
