key,en_value
"learnSeerahCompanionFocusTitle","Focus your entry"
"learnSeerahCompanionHadithSourceSubtitle","Revisit prophetic guidance that keeps Seerah lessons close to mercy, covenant, leadership, and character in practice."
"learnSeerahCompanionHijrahDescription","Use Hijrah as the clearest example of planning carefully while relying completely on Allah."
"learnSeerahCompanionHijrahNextExplore","Open the Hijrah stage first, then follow the history timeline to place migration and its consequences into the wider Muslim story."
"learnSeerahCompanionHijrahSubtitle","Follow the move to Madinah with trust, planning, and reliance on Allah."
"learnSeerahCompanionHijrahWhyItMatters","Hijrah is one of the clearest Seerah examples of courage, planning, sacrifice, and tawakkul working together instead of competing."
"learnSeerahCompanionHistorySourceSubtitle","Place the Seerah in chronology and revisit the treaty, opening, and pilgrimage moments surrounding major transitions."
"learnSeerahCompanionHudaybiyyahDescription","Use Hudaybiyyah to see how restraint, covenant, and long vision can become victory before visible conquest appears."
"learnSeerahCompanionHudaybiyyahNextExplore","Open the history timeline first, then revisit Hadith guidance on patience, covenant, and prophetic leadership when tensions are high."
"learnSeerahCompanionHudaybiyyahSubtitle","Stay with the treaty that looked restrictive at first but opened a wider path for da’wah and stability."
"learnSeerahCompanionHudaybiyyahTitle","Hudaybiyyah"
"learnSeerahCompanionHudaybiyyahWhyItMatters","Hudaybiyyah teaches that not every apparent setback is loss. Some openings arrive through patience, disciplined agreement, and trust that Allah is shaping a larger outcome."
"learnSeerahCompanionMadinahDescription","See how the Prophet ﷺ shaped a society where worship, leadership, brotherhood, and justice met together."
"learnSeerahCompanionMadinahNextExplore","Open the Madinah Society stage, then move into Hadith and Qur''an-linked study to follow how community life, character, and guidance were carried forward."
"learnSeerahCompanionMadinahSubtitle","See how worship, brotherhood, and justice shaped the Madinan community."
"learnSeerahCompanionMadinahWhyItMatters","Madinah shows Islam lived as worship, brotherhood, justice, consultation, and public responsibility rather than private belief alone."
"learnSeerahCompanionMakkahDescription","Begin with the years when tawhid, early believers, and steady da’wah were formed under social pressure, isolation, and patient endurance."
"learnSeerahCompanionMakkahNextExplore","Continue into the Makkan journey stage, then open Qur''an-linked study to revisit how tawhid, patience, and the Hereafter formed the first believing community."
"learnSeerahCompanionMakkahSubtitle","Trace the early Makkan years when tawhid, patience, and the first believers were formed under pressure."
"learnSeerahCompanionMakkahWhyItMatters","Early Makkah shows that the prophetic mission began by forming belief, early loyalty, and resilient worship before visible strength or public stability arrived."
"learnSeerahCompanionMomentsSubtitle","Stay with the late Seerah moments that opened, redirected, and completed the Prophetic mission."
"learnSeerahCompanionMomentsTitle","Pivotal moments"
"learnSeerahCompanionNextExploreTitle","Suggested next exploration"
"learnSeerahCompanionPeriodsSubtitle","Start with the main Seerah periods when you want a clear guided entry into the life of the Prophet ﷺ."
"learnSeerahCompanionPeriodsTitle","Key periods"
"learnSeerahCompanionProphetsSourceSubtitle","Compare the Seerah with wider prophetic stories and themes when you want a broader prophetic frame."
"learnSeerahCompanionQuranSourceSubtitle","Study Qur’anic passages that illuminate patience, migration, opening, victory, and prophetic guidance."
"learnSeerahCompanionTurningPointsDescription","Use this module to connect Hudaybiyyah, the Conquest of Makkah, and the Farewell Hajj to the wider arc of patience, opening, and completion in the Seerah."
