key,en_value
"quranCompanionReasonNight","For tonight"
"quranCompanionReasonRecent","Based on your recent reading"
"quranCompanionReasonStart","Start here"
"quranCompanionRelatedThemeDescription","A connected theme to keep your recent Qur’an exploration moving gently forward."
"quranCompanionResumeBadge","Resume"
"quranCompanionResumePathDescription","Pick up your guided journey where it last felt most alive."
"quranCompanionResumePathTitle","Continue {path}"
"quranCompanionSectionSubtitle","A calm set of suggestions shaped by your recent reading, current pathway, and the moment you are in."
"quranCompanionSectionTitle","Your Qur’an Companion"
"quranCompanionStartHereDescription","A gentle starting point when you want something foundational and clear."
"quranCompanionStartHereTitle","Start with Surah {surah}"
"quranCompanionThemeDescription","Follow one Qur’anic theme across connected surahs, ayat, and reflections."
"quranCompanionTimeOfDayDescription","Keep one ayah, one meaning cue, and one calm next step close right now."
"quranCompanionTimeOfDayTitle","A reflection for this moment"
"quranDailyCompanionCardSubtitle","Return to today''s ayah with one clear reflection and one calm next step."
"quranDailyCompanionContinueTitle","Continue today"
"quranDailyCompanionJourneyAction","Continue journey"
"quranDailyCompanionJourneyAlignedLabel","Aligned with your journey"
"quranDailyCompanionJourneyBody","Today''s ayah follows your current journey theme: {theme}."
"quranDailyCompanionJourneyBodyNoTheme","Today''s ayah follows the strongest Qur''anic connection for the journey stage you are already working through."
"quranDailyCompanionJourneyTitle","Journey connection"
"quranDailyCompanionMeaningTitle","Meaning and reflection"
"quranDailyCompanionMemorizedLabel","Memorized"
"quranDailyCompanionOpenAction","Open companion"
"quranDailyCompanionOpenReaderAction","Open full reader"
"quranDailyCompanionOpenThemeAction","Explore theme"
"quranDailyCompanionPathAction","Start path"
"quranDailyCompanionRelatedInsightTitle","Related insight"
"quranDailyCompanionReviewMemoryAction","Review memorization"
"quranDailyCompanionSubtitle","One ayah, one meaning cue, one small next step for today."
"quranDailyCompanionTakeawayTitle","Practical takeaway"
"quranDailyCompanionThemeTitle","Theme connection"
"quranDailyCompanionTitle","Daily Qur''an companion"
"quranDailyCompanionTodayTitle","Today''s ayah"
"quranHubRecommendationDailyTitle","Today’s reflection"
"quranHubRecommendationJourneyTitle","Today’s reflection for {journey}"
"quranHubRecommendationReasonContinuePath","Pick up where your guided Qur’an study already left off."
"quranHubRecommendationReasonDaily","Keep one ayah, one meaning cue, and one calm next step close today."
"quranHubRecommendationReasonDailyJourney","Today’s daily companion aligns with your current journey on {journey}."
"quranHubRecommendationReasonGuidedPath","This best matches your current focus on following a guided path."
"quranHubRecommendationReasonJourneyTheme","This theme is the clearest Qur’anic bridge for your current journey focus on {theme}."
"quranHubRecommendationReasonJourneyThemePair","{journey} is currently mapping into the Qur’anic theme of {theme}."
"quranHubRecommendationReasonMemorizationFocus","Keep repetition and review close while memorization is your main focus."
"quranHubRecommendationReasonRecentStudy","Return to the surah you were studying most recently."
"quranHubRecommendationReasonTheme","Follow one Qur’anic theme across ayahs, insights, and connected study surfaces."
"quranHubRecommendationReasonThemeFocus","This best matches your current focus on thematic Qur’an study."
"quranHubRecommendationsSubtitle","A small set of next steps based on your current Qur’an rhythm, focus, and study context."
"quranMemorizationMarkAction","Mark for memorization"
"quranMemorizationRemoveAction","Remove from memorization"
"quranMemorizationReviewAllTitle","All memorized"
"quranMemorizationReviewContinueTitle","Continue review"
"quranMemorizationReviewDueTitle","Due for review"
"quranMemorizationReviewEmpty","No ayahs are marked for memorization yet. Mark one from the reader to begin a calm review list."
"quranMemorizationReviewMeaningFallback","Translation is not available for this ayah right now."
"quranMemorizationReviewNeedsRevisionTitle","Needs revision"
"quranMemorizationReviewNeverReviewed","Not reviewed yet"
"quranMemorizationReviewNextReview","Next review: {dateLabel}"
"quranMemorizationReviewOpenListAction","Open memorization review"
"quranMemorizationReviewOpenReaderAction","Open in reader"
"quranMemorizationReviewRecentTitle","Recently memorized"
"quranMemorizationReviewRelatedStudyTitle","Related study"
"quranMemorizationReviewRhythmMeta","Reviewed {count} times • Last reviewed: {dateLabel}"
"quranMemorizationReviewSavedTitle","Saved for memorization"
"quranMemorizationReviewSubtitle","Return to the ayahs you want to retain with meaning, themes, and light related study."
"quranMemorizationReviewSummary","Saved: {count} ayahs • Due today: {dueCount}"
"quranMemorizationReviewThemesTitle","Key theme"
