key,english_source,same_as_english_locale_count,missing_locale_count
learnQuizzesCrosswordSectionSubtitle,Knowledge games that reuse the app’s learning content in a calm puzzle format.,11,0
learnQuizzesCrosswordSectionTitle,Crossword puzzles,11,0
learnQuizzesDailyKnowledgeSectionSubtitle,A single daily hub that ties together all five knowledge game experiences.,11,0
learnQuizzesDailyKnowledgeSectionTitle,Daily Knowledge Challenge,11,0
learnQuizzesFilterReview,Review,11,0
learnQuizzesHadithChapterCount,{count} hadith chapter quizzes,11,0
learnQuizzesHadithReflectionSectionSubtitle,Reflect on authentic Hadith teachings through practical scenario decisions.,11,0
learnQuizzesHadithReflectionSectionTitle,Hadith Reflection,11,0
learnQuizzesHadithSectionSubtitle,Path and chapter quizzes from the Hadith module.,11,0
learnQuizzesHadithSectionTitle,Hadith Chapter Quizzes,11,0
learnQuizzesHubSubtitle,Practice what you have learned across the different learning sections with one organized quiz hub.,11,0
learnQuizzesLearningModulesLive,{count} learning modules live,11,0
learnQuizzesMatchingSectionSubtitle,"Match words, meanings, and lessons in calm study sets.",11,0
learnQuizzesMatchingSectionTitle,Matching Game,11,0
learnQuizzesModeQuizGroup,Mode Quiz,11,0
learnQuizzesNoMatchSubtitle,Try a broader keyword or switch categories.,11,0
learnQuizzesNoMatchTitle,No quizzes match this filter.,11,0
learnQuizzesOpenAyahCompletion,Open Ayah Completion,11,0
learnQuizzesOpenCrossword,Open crossword,11,0
learnQuizzesOpenDailyKnowledge,Open daily challenge,11,0
learnQuizzesOpenHadithReflection,Open Hadith Reflection,11,0
learnQuizzesOpenIslamicTrivia,Open Islamic Trivia,11,0
learnQuizzesOpenMatching,Open Matching Game,11,0
learnQuizzesOpenProphetQuiz,Open prophet quiz,11,0
learnQuizzesOpenWordSearch,Open Word Search,11,0
learnQuizzesProphetModeCount,{count} prophet quiz modes,11,0
learnQuizzesProphetModeIdentification,Prophet Identification,11,0
learnQuizzesProphetModeIdentificationSubtitle,"Recognize prophets through names, roles, and core traits.",11,0
learnQuizzesProphetModeLessonRecognition,Lesson Recognition,11,0
learnQuizzesProphetModeLessonRecognitionSubtitle,Identify the life lessons each prophetic story teaches.,11,0
learnQuizzesProphetModeQuranReference,Qur’an Reference,11,0
learnQuizzesProphetModeQuranReferenceSubtitle,Connect prophets with their Qur’anic references and contexts.,11,0
learnQuizzesProphetModeStoryMatching,Story Matching,11,0
learnQuizzesProphetModeStoryMatchingSubtitle,"Match prophets to events, tests, and story details.",11,0
learnQuizzesProphetModeTimeline,Timeline Order,11,0
learnQuizzesProphetModeTimelineSubtitle,Practice chronology and placement across prophetic history.,11,0
learnQuizzesProphetsSectionSubtitle,Mode-based quizzes from the Prophets module.,11,0
learnQuizzesProphetsSectionTitle,Prophets Quizzes,11,0
learnQuizzesRandomHadithReviewSubtitle,Mixed review from completed or available hadith lessons.,11,0
learnQuizzesReviewSectionSubtitle,Review-style quizzes from your Hadith learning.,11,0
learnQuizzesReviewSectionTitle,Hadith Review Quizzes,11,0
learnQuizzesSearchHint,"Search quiz titles, modules, topics...",11,0
learnQuizzesStartChapterQuiz,Start chapter quiz,11,0
learnQuizzesStartWeeklyQuiz,Start weekly quiz,11,0
learnQuizzesStartsAtEasy,Starts at Easy,11,0
learnQuizzesWeeklyKnowledgeCheck,Weekly Knowledge Check,11,0
learnQuizzesWeeklyKnowledgeCheckSubtitle,A weekly hadith check-in pulled from learned material.,11,0
learnQuizzesWordSearchSectionSubtitle,Find meaningful Islamic words in themed grids.,11,0
learnQuizzesWordSearchSectionTitle,Word Search,11,0
learnQuranHubDailyVerseTitle,Today''s Verse,11,0
learnQuranHubOpenReaderAction,Open in Reader,11,0
learnQuranHubWriteJournalAction,Write in Journal,11,0
learnSalahHubGuidanceNoticeAcknowledge,"By continuing, I acknowledge that this trainer is for guidance and learning, and I intend to memorize the recitations used in Salah.",11,0
learnSalahHubGuidanceNoticeBody1,The Salah Trainer in Path of Nūr is designed to help you learn the structure of salah and practice the recitations used during Salah.,11,0
learnSalahHubGuidanceNoticeBody2,It is intended as a learning aid and guided practice tool. It should not be relied upon as a permanent substitute for memorizing the recitations of salah.,11,0
learnSalahHubGuidanceNoticeBody3,You are encouraged to gradually memorize the Qur’anic verses and supplications used in Salah so that you may perform your salah independently without relying on the app.,11,0
learnSalahHubGuidanceNoticeTitle,Salah Trainer Guidance Notice,11,0
learnSalahHubLearnStructureAction,Learn Salah Structure,11,0
learnSalahHubStartGuidedSalahAction,Start Guided Salah,11,0
learnSalahHubStepByStepMovementsAction,Step-by-Step Movements,11,0
