key,en_value
"quranReadinessKidsIntroSubtitle","These are real Qur’an phrases. Listen, look closely, and notice what already feels familiar."
"quranReadinessKidsIntroTitle","A gentle bridge into Qur’an reading"
"quranReadinessKidsPageSubtitle","Spot very short real Qur’an phrases you already know."
"quranReadinessKidsPageTitle","Qur’an readiness"
"quranReadinessKidsReviewAction","Review Qur’an phrases"
"quranReadinessKidsStartAction","Start Qur’an readiness"
"quranReadinessKnownPhraseAdultSubtitle","This phrase connects directly to your earlier Arabic work, so the verse feels less unfamiliar."
"quranReadinessKnownPhraseAdultTitle","What you already recognize"
"quranReadinessKnownPhraseKidsSubtitle","This short phrase is one you have already heard in Arabic learning."
"quranReadinessKnownPhraseKidsTitle","You already know this part"
"quranReadinessLevelOneSubtitle","Very short phrases that are easiest to spot and repeat."
"quranReadinessLevelOneTitle","Level 1: First recognition"
"quranReadinessLevelProgressValue","{level}: {opened} of {total}"
"quranReadinessLevelThreeSubtitle","A small step into short whole-ayah recognition from Surah Al-Ikhlas."
"quranReadinessLevelThreeTitle","Level 3: Ayah confidence"
"quranReadinessLevelTwoSubtitle","Slightly longer pieces from Al-Fatihah that build confidence."
"quranReadinessLevelTwoTitle","Level 2: Familiar ayah phrases"
"quranReadinessNextAction","Next snippet"
"quranReadinessOpenFullAyahHint","Open the full ayah in the Qur’an reader."
"quranReadinessPlaySnippetAction","Play snippet"
"quranReadinessPreviousAction","Previous"
"quranReadinessProgressionSubtitle","Move through short snippets in a calm order. You can still open any snippet at any time."
"quranReadinessProgressionTitle","Step-by-step Qur’an recognition"
"quranReadinessPronunciationHintsOpenAction","Open lesson"
"quranReadinessPronunciationHintsSubtitle","Use these small cues to notice careful recitation without turning this into a full tajweed lesson."
"quranReadinessPronunciationHintsTitle","Light pronunciation hints"
"quranReadinessReadyFromArabic","Built from your Arabic practice"
"quranReadinessRecognitionAdultSubtitle","This snippet extends what you already know without needing full reader complexity."
"quranReadinessRecognitionAdultTitle","Build recognition calmly"
"quranReadinessRecognitionKidsSubtitle","Even if this is a new snippet, some of its sounds and words will start to feel easier to spot."
"quranReadinessRecognitionKidsTitle","Notice what feels familiar"
"quranReadinessReviewAgainAction","Review again"
"quranReadinessStartGently","Start gently"
"quranRepeatFromLabel","Repeat from"
"quranRepeatToLabel","Repeat to"
"quranSaveAsHighlightLabel","Save as highlight"
"quranShortSurahsAdultCardSubtitle","Continue with the short surah {surahName}."
"quranShortSurahsAdultCardTitle","Beginner short surahs"
"quranShortSurahsAdultContinueAction","Continue short surahs"
"quranShortSurahsAdultIntroSubtitle","These short surahs let you move from phrase recognition into full reading without opening the full reader first."
"quranShortSurahsAdultIntroTitle","A gentle step into complete short surahs"
"quranShortSurahsAdultPageSubtitle","Use a beginner-friendly path from short snippets into complete short surahs."
"quranShortSurahsAdultPageTitle","Short surah reading"
"quranShortSurahsAdultReviewAction","Review short surahs"
"quranShortSurahsAdultStartAction","Start short surahs"
"quranShortSurahsAyahCountValue","{count} ayahs"
"quranShortSurahsAyahLabel","Ayah {number}"
"quranShortSurahsBridgeAdultSubtitle","After short snippet recognition, continue into the full short surah {surahName}."
"quranShortSurahsCountValue","{opened} of {total} short surahs opened"
"quranShortSurahsKidsCardSubtitle","Try the full short surah {surahName} next."
"quranShortSurahsKidsCardTitle","First short surahs"
"quranShortSurahsKidsContinueAction","Continue short surahs"
"quranShortSurahsKidsIntroSubtitle","Start with one very short surah, listen carefully, and notice how the whole surah begins to feel familiar."
"quranShortSurahsKidsIntroTitle","Your first full short surahs"
"quranShortSurahsKidsPageSubtitle","Move from tiny Qur’an snippets into full short surahs, one calm step at a time."
"quranShortSurahsKidsPageTitle","First short surahs"
"quranShortSurahsKidsReviewAction","Review short surahs"
"quranShortSurahsKidsStartAction","Start short surahs"
"quranShortSurahsKnownSnippetsTitle","Already familiar from snippets"
"quranShortSurahsPlayAction","Play surah"
"quranShortSurahsProgressionSubtitle","Begin with the most familiar complete surah, then move into other very short surahs at your own pace."
"quranShortSurahsProgressionTitle","Step-by-step short surahs"
"quranShortSurahsReadyFromBridge","Built from your snippet practice"
"quranShortSurahsStageOneSubtitle","Start with a complete short surah that already overlaps your earlier snippet work."
"quranShortSurahsStageOneTitle","Stage 1: First full surah"
"quranShortSurahsStageThreeSubtitle","Read familiar protection surahs with calm ayah-by-ayah support."
"quranShortSurahsStageThreeTitle","Stage 3: Protection surahs"
"quranShortSurahsStageTwoSubtitle","Add another very short surah so reading a full passage starts to feel natural."
"quranShortSurahsStageTwoTitle","Stage 2: Gentle expansion"
"quranShortSurahsStartGently","Start with one short surah"
"quranTeachingMiniAssessmentCardAction","Start practice"
"quranTeachingMiniAssessmentCardSubtitle","{count} brief recognition questions from your recent Arabic learning."
"quranTeachingMiniAssessmentCardTitle","Quick practice"
"quranTeachingMiniAssessmentPageSubtitle","A short recognition check to reinforce recent letters, words, and phrases."
"quranTeachingMiniAssessmentPageTitle","Quick practice"
"quranUnknownDateLabel","Unknown date"
"quranUnpinWordLabel","Unpin word"
"quranWordReviewAgain","Again"
"quranWordReviewEasy","Easy"
"quranWordReviewEmpty","No pinned words yet. Open any ayah, tap a word, and pin it first."
"quranWordReviewHide","Hide"
"quranWordReviewHubSubtitle","{count} pinned words • review and strengthen recall."
"quranWordReviewProgressLabel","{current} of {total} pinned words"
"quranWordReviewReveal","Reveal"
"quranWordReviewSubtitle","Pin words from reader word-by-word mode to study here."
"quranWordReviewTitle","Word Review Deck"
"quranWordTranslationChip","Word by Word Translation"
"quranShowTransliteration","Transliteration"
"quranArabicTextSize","Arabic size"
"quranCancel","Cancel"
"quranSave","Save"
"quranShowArabic","Arabic text"
"quranShowTranslation","Translation text"
"quranTranslationTextSize","Translation size"
"quranTransliterationTextSize","Transliteration size"
"quranAppHubTitle","The Holy Qur''an"
"quranAyahActionDailySubtitle","Read, reflect, and try one small action today."
"quranAyahActionReaderSubtitle","A small step to help you live what you just read."
"quranAyahActionTitle","Live this ayah"
"quranAyahActionTodayTitle","Today''s ayah"
"quranCompanionContinueSurahDescription","Return to the ayah where your reading thread was already open."
"quranCompanionContinueSurahTitle","Continue Surah {surah}"
"quranCompanionExploreThemeTitle","Explore {theme}"
"quranCompanionFocusBadge","Growth focus"
"quranCompanionFridayBadge","Friday"
"quranCompanionFridayDescription","A soft Friday nudge toward a widely loved surah for reflection and recitation."
"quranCompanionFridayTitle","Friday reflection: {surah}"
"quranCompanionMomentBadge","For this moment"
"quranCompanionMomentumBadge","Keep going"
"quranCompanionPathwayDescription","A guided pathway that keeps the next step clear and spiritually grounded."
"quranCompanionPathwayTitle","Walk through {path}"
