key,en_value
"quranAyahActionCompleteAction","Mark as done"
"quranAyahActionCompletedAction","Done today"
"quranAyahActionReflectAction","Reflect"
"quranAyahActionReflectionTitle","A short reflection"
"quranAyahExplanationDetailDeep","Deep"
"quranAyahExplanationDetailHelper","Choose how much explanation appears under ayahs with curated meaning notes."
"quranAyahExplanationDetailKids","Kids"
"quranAyahExplanationDetailLabel","Explanation detail"
"quranAyahExplanationDetailOff","Off"
"quranAyahExplanationDetailSimple","Simple"
"quranAyahExplanationDetailStandard","Standard"
"quranAyahExplanationFallbackSourceLine","Simplified explanation based on trusted tafsir sources"
"quranAyahExplanationKeyLessonsTitle","Key lessons"
"quranAyahExplanationReflectionPromptTitle","Reflection prompt"
"quranAyahExplanationSourceLine","Based on trusted tafsir summaries: {sources}"
"quranAyahExplanationTitle","Ayah explanation"
"quranAyahExplanationTrustedSourceLine","Based on trusted tafsir sources"
"quranAyahInsightPathDescriptionWorshipRemembranceStarter","A practical sequence on prayer, dhikr, du''a, sincerity, and reliance on Allah."
"quranFocusRecitationSleepTimerMinutesLabel","{minutes} min"
"quranHubRecommendationReasonReviewDue","{count, plural, =1{One memorized ayah is due for review today.} other{{count} memorized ayahs are due for review today.}}"
"quranLearningPathBeginnerDescription","A gentle first path through Al-Fatihah, reflection, and one guided study handoff so Qur''an learning feels approachable instead of overwhelming."
"quranLearningPathBeginnerSubtitle","Start with meaning, guidance, and one calm next step."
"quranLearningPathBeginnerTitle","Beginner Understanding"
"quranLearningPathIntensityDeeper","Deeper"
"quranLearningPathIntensityGentle","Gentle"
"quranLearningPathIntensityGuided","Guided"
"quranLearningPathMemorizationDescription","Move from the memorization review lane into a focused ayah and supporting theme so repetition stays connected to understanding."
"quranLearningPathMemorizationSubtitle","Review, understand, and retain one anchor ayah calmly."
"quranLearningPathMemorizationTitle","Memorization Support"
"quranLearningPathNotFound","This learning path could not be found."
"quranLearningPathReflectionDescription","A quieter path through one reflective ayah, your saved reflections, and a Daily Wisdom handoff for gentle contemplation."
"quranLearningPathReflectionSubtitle","Slow down with mercy, reflection, and one practical next step."
"quranLearningPathReflectionTitle","Reflection Journey"
"quranLearningPathStepBeginnerGuidedSubtitle","Continue into a guided Ayah Insights starter path rooted in belief and orientation."
"quranLearningPathStepBeginnerGuidedTitle","Follow a foundations path"
"quranLearningPathStepBeginnerReadSubtitle","Open the reader in a calm reading-first mode at the heart of the surah."
"quranLearningPathStepBeginnerReadTitle","Read Al-Fatihah"
"quranLearningPathStepBeginnerReflectSubtitle","Re-open the same ayah in reflection mode so meaning and direction stand out more clearly."
"quranLearningPathStepBeginnerReflectTitle","Reflect on guidance"
"quranLearningPathStepMemorizationReviewSubtitle","Start from the memorization review lane to see what is due and what to continue."
"quranLearningPathStepMemorizationReviewTitle","Open your review list"
"quranLearningPathStepMemorizationStudySubtitle","Open the reader in memorization mode so repetition stays connected to meaning and patience."
"quranLearningPathStepMemorizationStudyTitle","Study the anchor ayah"
"quranLearningPathStepMemorizationThemeSubtitle","Use the patience theme to connect memorization with wider Qur''anic context."
"quranLearningPathStepMemorizationThemeTitle","Reinforce the theme"
"quranLearningPathStepReflectionReadSubtitle","Open a reflective ayah in reflection mode with translation and calm study cues closer to the surface."
