key,en_value
"learnSalahHubWuduGuideTitle","Wudu Guide"
"learnSalahHubWuduTrainerSubtitle","Interactive guided practice and checklist mode."
"learnTabHadith","Hadith"
"learningJourneyIslandArabicLearningDescription","Grow from letter recognition toward meaning, recitation, and confident repetition."
"learningJourneyIslandArabicLearningSubtitle","Alphabet, reading, words, and tajweed basics."
"learningJourneyIslandArabicLearningTitle","Arabic Learning"
"learningJourneyIslandWhyArabicLearning","Arabic learning becomes sustainable when it is broken into calmer stages with clear next steps."
"learningJourneyTodayLightBadgeProphet","Prophet Daily"
"learningJourneyTodayLightBadgeTrivia","Trivia Daily"
"learnContentContinueTitle","Continue learning"
"learnContentFavorite","Favorite topic"
"learnContentFavorited","Favorited"
"learnContentFavoritesSubtitle","{count} favorited topics"
"learnContentFavoritesTitle","Favorite topics"
"learnContentMarkComplete","Mark complete"
"learnContentMarkIncomplete","Mark incomplete"
"learnContentModeFocusTitle","Mode focus"
"learnContentNotFound","Content not found."
"learnContentOverviewTitle","Overview"
"learnContentPathComplete","You reached the end of this staged path."
"learnContentPathContinue","Continue to the next related topic."
"learnContentProgressTitle","Progress tracking"
"learnContentReferencesTitle","Related references"
"learnContentReflectionIdeasTitle","Reflection ideas"
"learnContentReflectionProgress","Reflection {percent}%"
"learnContentReflectionPromptTitle","Reflection prompt"
"learnContentRelatedTopicsTitle","Related topics"
"learnContentSave","Save topic"
"learnContentSaved","Saved"
"learnContentThemesTitle","Key themes"
"learnContentTopicLabel","Topic"
"learnContentUnavailableSubtitle","This topic is not available yet."
"learnGamesBrowseAllActionText","Open Browse All"
"learnGamesBrowseAllPageSubtitleText","Search or scan every available quiz, game, challenge, and pack without bouncing through thin category pages."
"learnGamesBrowseAllPageTitleText","Browse All Games"
"learnGamesBrowseAllSubtitleText","Open a complete explorer of every quiz, game, pack, and challenge mode."
"learnGamesBrowseAllTitleText","Browse All"
"learnGamesChallengeDailyRunTitleText","Daily Run"
"learnGamesChallengeReviewModeTitleText","Review Mode"
"learnGamesChallengeTriviaTitleText","Trivia Challenge"
"learnGamesDailyKnowledgeTodayTitleText","Daily Knowledge Challenge - Today"
"learnGamesGrowthChooseIntentionTitleText","Choose Intention"
"learnGamesGrowthDailyReflectionTitleText","Daily Reflection"
"learnGamesGrowthSpiritualTitleText","Spiritual Growth"
"learnGamesGrowthThemeFocusTitleText","Theme Focus"
"learnGamesHadithAngerTitleText","Anger Control"
"learnGamesHadithFamilyTitleText","Family & Respect"
"learnGamesHadithPatienceTitleText","Patience & Resilience"
"learnGamesHadithReflectionHomeTitleText","Hadith Reflection"
"learnGamesHubSubtitleText","Browse daily challenges, knowledge games, Qur’an practice, reflection, spiritual tools, and themed packs from one place."
"learnGamesHubTitleText","Quizzes & Games"
"learnGamesIslandContinueDailyAction","Continue today’s challenge"
"learnGamesIslandDailyFallbackSubtitle","Open the daily hub directly if the bundle preview is unavailable right now."
"learnGamesIslandDailyHeroCompletedSubtitle","Today’s bundle is complete. You can revisit the hub or keep exploring other game sections."
"learnGamesIslandDailyHeroInProgressSubtitle","{completed} of {total} daily games complete. Continue from where you left off."
"learnGamesIslandDailyHeroSubtitle","Start the daily bundle or return later without losing the existing per-game progress."
"learnGamesIslandDailyHeroTitle","Today’s Games Journey"
"learnGamesIslandDailyHistoryLabel","{count} recent days tracked"
"learnGamesIslandDailyProgressLabel","{completed}/{total} complete"
"learnGamesIslandDailyStreakLabel","{count}-day streak"
"learnGamesIslandInProgressBadge","In progress"
"learnGamesIslandKidsEntryAction","Explore Kids Games"
"learnGamesIslandKidsEntryActionSubtitle","Open the child-friendly games grouping inside Kids Learning."
"learnGamesIslandKidsEntrySubtitle","Kids-only discovery remains inside Kids Learning instead of mixing into the main games island."
"learnGamesIslandKidsEntryTitle","Kids Games Stay Separate"
"learnGamesIslandKidsRedirectTitle","Kids profiles use Kids Learning"
"learnGamesIslandLandingCardSubtitle","Open the main non-kids games island without replacing the existing quiz and game routes."
"learnGamesIslandLoadingSubtitle","Loading today’s game bundle and section discovery."
"learnGamesIslandModeDailyRunSubtitle","Open today’s full Daily Knowledge Challenge bundle."
"learnGamesIslandModeDailyRunTitle","Daily Run"
"learnGamesIslandModeReviewSubtitle","Return to review-style quiz flows without digging through the broader quiz hub."
"learnGamesIslandModeReviewTitle","Review Mode"
"learnGamesIslandModeTriviaSubtitle","Open challenge-first trivia routes already supported by the current quiz system."
"learnGamesIslandModeTriviaTitle","Trivia Challenge"
"learnGamesIslandOpenDailyAction","Open daily challenge"
"learnGamesIslandSectionDailySubtitle","Today’s bundle, current progress, and a stable daily route stay together here."
"learnGamesIslandSectionDailyTitle","Daily Challenges"
"learnGamesIslandSectionGrowthSubtitle","Game-linked spiritual intentions, reflections, and growth summaries stay calm and separate from puzzle lists."
"learnGamesIslandSectionGrowthTitle","Growth & Spiritual"
"learnGamesIslandSectionHadithSubtitle","Scenario-based Hadith reflection and character-focused decisions stay grouped here."
"learnGamesIslandSectionHadithTitle","Hadith & Reflection"
"learnGamesIslandSectionKnowledgeSubtitle","Crossword, Word Search, and Matching remain the core discovery layer for general knowledge play."
"learnGamesIslandSectionKnowledgeTitle","Knowledge Games"
"learnGamesIslandSectionModesSubtitle","Supported daily, review, and challenge-style variations are surfaced here without inventing new engines."
"learnGamesIslandSectionModesTitle","Challenge Modes"
"learnGamesIslandSectionPacksSubtitle","Open themed pack routes that already exist across the current knowledge games catalog."
"learnGamesIslandSectionPacksTitle","Game Packs"
"learnGamesIslandSectionQuranSubtitle","Ayah-focused memorization and verse-completion play stays in one dedicated Qur’an lane."
"learnGamesIslandSectionQuranTitle","Qur’an Games"
"learnGamesIslandSectionsSubtitle","Open one section at a time or scan the full island to find the right challenge."
"learnGamesIslandSectionsTitle","Browse Games"
"learnGamesIslandSubtitle","A calm discovery island for daily challenges, knowledge games, Qur’an games, reflection, and pack-based play."
"learnGamesIslandTitle","Games"
"learnGamesIslandTodayBadge","Today"
"learnGamesKnowledgeCrosswordTitleText","Crossword Puzzles"
"learnGamesKnowledgeMatchingTitleText","Matching Games"
"learnGamesKnowledgeWordSearchTitleText","Word Search"
"learnGamesPackAdultFoundationsTitleText","Adult Foundations"
"learnGamesPackDailyRotationTitleText","Daily Rotation"
"learnGamesPackDuasTitleText","Duas & Meanings"
"learnGamesPackProphetsTitleText","Prophets"
"learnGamesQuranAdultShortSurahsTitleText","Adult Short Surahs"
"learnGamesQuranAyahCompletionTitleText","Ayah Completion"
"learnGamesQuranDailyAyahTitleText","Daily Ayah Today"
"learnGamesQuranMemorizationSetTitleText","Memorization Set"
"learnGamesSearchHintText","Search quizzes and games"
"learnGamesSearchResultsCountText","{count} matching option(s)"
"learnGamesSearchResultsSubtitleText","Open the real destination directly from matching options."
"learnGamesSearchResultsTitleText","Search Results"
"learnHadithCharacterSubtitle","Adab, mercy, and conduct foundations."
"learnHadithCharacterTitle","Character and Manners"
"learnHadithFamilySubtitle","Relationships, rights, and social balance."
