key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyDhikrIstighfarInvocationContext,A short daily formula of repentance and return.,9,0
learningJourneyDhikrIstighfarInvocationTitle,Simple istighfar,9,0
learningJourneyDhikrIstighfarReflection,What would change if repentance became one of your daily habits instead of a rare reaction?,9,0
learningJourneyDhikrIstighfarSection1Title,Why istighfar matters daily,9,0
learningJourneyDhikrIstighfarSection2Title,How to build the habit,9,0
learningJourneyDhikrIstighfarTakeaway1,Istighfar is a daily spiritual need.,9,0
learningJourneyDhikrIstighfarTakeaway2,Repentance joins honesty about sin with hope in mercy.,9,0
learningJourneyDhikrIstighfarTakeaway3,Short sincere repentance is better than thoughtless repetition.,9,0
learningJourneyDhikrMorningBullet1,Begin with a short authentic opening remembrance.,9,0
learningJourneyDhikrMorningBullet2,Use the same moment each day so the habit becomes easier.,9,0
learningJourneyDhikrMorningBullet3,"Read with understanding, not rush.",9,0
learningJourneyDhikrMorningInvocationTitle,Morning opening remembrance,9,0
learningJourneyDhikrMorningReflection,What would change in your mornings if remembrance came before hurry?,9,0
learningJourneyDhikrMorningSection1Body,Morning adhkar are best read after Fajr or in the early part of the day. A beginner can start with one or two authentic remembrances and keep them steady.,9,0
learningJourneyDhikrMorningSection1Title,When to say them,9,0
learningJourneyDhikrMorningSection2Body,"Keep the morning set small at first. Tie it to a clear moment such as after prayer, before leaving the house, or before opening your phone.",9,0
learningJourneyDhikrMorningSection2Title,Building the habit,9,0
learningJourneyDhikrMorningTakeaway2,A short protected routine is better than an abandoned long list.,9,0
learningJourneyDhikrMorningTakeaway3,The day begins more calmly when remembrance comes before distraction.,9,0
learningJourneyDhikrMorningTitle,Morning Adhkar,9,0
learningJourneyDhikrRoutineActionStep,"Choose one dhikr for the morning, one for the evening, and one after salah so your routine stays small and sustainable.",9,0
learningJourneyDhikrRoutineBullet1,Morning: one opening remembrance.,9,0
learningJourneyDhikrRoutineBullet2,After salah: one short fixed set.,9,0
learningJourneyDhikrRoutineBullet3,Night: one closing remembrance before sleep.,9,0
learningJourneyDhikrRoutineIntro,"A beginner dhikr routine should be small, clear, and sustainable.",9,0
learningJourneyDhikrRoutineReflection,Which three moments could become your personal remembrance anchors this week?,9,0
learningJourneyDhikrRoutineSection1Body,"Choose three anchor moments: morning, after one prayer, and before sleep. Attach one short remembrance to each moment and keep it for a week before adding more.",9,0
learningJourneyDhikrRoutineSection1Title,A workable routine,9,0
learningJourneyDhikrRoutineSection2Body,Clarity matters more than intensity. A small routine that survives real life will benefit you more than a large routine that collapses quickly.,9,0
learningJourneyDhikrRoutineSection2Title,What keeps the routine alive,9,0
learningJourneyDhikrRoutineTakeaway1,Tie dhikr to moments that already exist in your day.,9,0
learningJourneyDhikrRoutineTakeaway2,Build slowly enough that the habit survives difficulty.,9,0
learningJourneyDhikrRoutineTakeaway3,"Steady remembrance is formed by clarity, not pressure.",9,0
learningJourneyDhikrRoutineTitle,Simple Daily Routine,9,0
learningJourneyDhikrSalawatBullet1,Keep a short form ready for frequent repetition.,9,0
learningJourneyDhikrSalawatBullet2,"Let salawat renew love, not become empty habit.",9,0
learningJourneyDhikrSalawatBullet3,Use it often enough that gratitude becomes natural.,9,0
learningJourneyDhikrSalawatInvocationContext,A short form for daily remembrance and frequent salawat.,9,0
learningJourneyDhikrSalawatInvocationTitle,Short salawat,9,0
learningJourneyDhikrSalawatReflection,How can you make salawat part of your day in a way that feels sincere and frequent?,9,0
learningJourneyDhikrSalawatSection1Title,Why salawat matters,9,0
learningJourneyDhikrSalawatSection2Body,"Use a short form daily, after hearing the Prophet’s name ﷺ, on Fridays, and in quiet moments when you want to renew love for his guidance.",9,0
learningJourneyDhikrSalawatSection2Title,How to make it steady,9,0
learningJourneyDhikrSalawatTakeaway1,Salawat grows love for the Prophet ﷺ in daily life.,9,0
learningJourneyDhikrSalawatTakeaway2,A short form used often is better than a long form rarely used.,9,0
learningJourneyDhikrSalawatTakeaway3,This remembrance connects worship to gratitude for guidance.,9,0
learningJourneyDhikrWhatIsBullet1,Choose short authentic phrases first.,9,0
learningJourneyDhikrWhatIsBullet2,Attach remembrance to existing parts of your day.,9,0
learningJourneyDhikrWhatIsBullet3,Understanding meaning keeps dhikr sincere.,9,0
learningJourneyDhikrWhatIsReflection,Which daily moment could most easily become a steady remembrance anchor for you?,9,0
learningJourneyDhikrWhatIsSection1Title,A simple understanding,9,0
learningJourneyDhikrWhatIsSection2Body,Begin with a few short remembrances that you understand and can keep consistently. Small steady dhikr is better than overload that disappears.,9,0
learningJourneyDhikrWhatIsSection2Title,How to begin a habit,9,0
learningJourneyDhikrWhatIsTakeaway1,"Dhikr is remembrance with meaning, not empty repetition.",9,0
learningJourneyDhikrWhatIsTakeaway2,Consistency matters more than size at the beginning.,9,0
learningJourneyDhikrWhatIsTitle,What Is Dhikr?,9,0
learningJourneyFaithBooksBullet2,The Qur’an confirms truth and stands as final guidance.,9,0
learningJourneyFaithBooksBullet3,Belief in the books makes the Qur’an feel even more precious.,9,0
learningJourneyFaithBooksSection1Title,Why revelation matters,9,0
learningJourneyFaithBooksSection2Title,How the Qur’an fits,9,0
learningJourneyFaithBooksTitle,Books,9,0
learningJourneyFaithJudgmentBullet1,The Hereafter gives seriousness to daily choices.,9,0
learningJourneyFaithJudgmentBullet3,Remembering the Last Day encourages repentance and integrity.,9,0
learningJourneyFaithJudgmentSection1Title,Why the Last Day matters,9,0
learningJourneyFaithJudgmentSection2Title,How it changes daily life,9,0
learningJourneyFaithJudgmentTitle,Day of Judgment,9,0
learningJourneyFaithProphetsBullet1,Prophets carry revelation and model obedience.,9,0
learningJourneyFaithProphetsBullet2,Their stories teach faith through real human examples.,9,0
learningJourneyFaithProphetsBullet3,Love and respect for the prophets are part of faith.,9,0
learningJourneyFaithProphetsSection2Title,How prophets shape faith,9,0
learningJourneyFaithProphetsTitle,Prophets,9,0
learningJourneyFaithQadrBullet2,Trust in qadr brings calm without removing effort.,9,0
learningJourneyFaithQadrBullet3,"Belief in qadr should increase tawakkul, not passivity.",9,0
learningJourneyFaithQadrSection1Title,A simple understanding,9,0
learningJourneyFaithQadrSection2Title,A common misunderstanding,9,0
learningJourneyFeedbackFirstStageOpened,Learning started. Stay present and take just one meaningful step.,9,0
learningJourneyFeedbackStageCompleted,Stage complete. You’re on a {streak} day streak.,9,0
learningJourneyHomeBrowseAllSubtitle,"Open the wider map of islands, tools, collections, and secondary exploration.",9,0
learningJourneyHomeBrowseAllTitle,Browse All Knowledge,9,0
learningJourneyHomeCompletedBadge,Completed,9,0
learningJourneyHomeCompletedMessage,Great work—marking your journey complete and ready for what comes next.,9,0
learningJourneyHomeCompletedSuffix,completed,9,0
learningJourneyHomeExploreJourneys,Explore Journeys,9,0
learningJourneyHomeIslandsSubtitle,Start from the island that fits what you want to learn now. Each island leads into real journeys and staged content.,9,0
learningJourneyHomeLegacySubtitle,Explore the original learning library while the journey architecture continues to grow.,9,0
