key,en_value
"quranPathwaysStopNumberLabel","Stop {number}"
"quranPathwaysStopsTitle","Journey stops"
"quranPathwaysSurahLabel","Surah {surahNumber}"
"quranPersonalizationDismissAction","Dismiss for today"
"quranPersonalizationKidsReasonContinue","Keep going with what you started"
"quranPersonalizationKidsReasonEasy","Easy to understand"
"quranPersonalizationKidsReasonToday","A good ayah for today"
"quranPersonalizationKidsTitle","A gentle next ayah"
"quranPersonalizationPathHintTitle","Suggested path"
"quranPersonalizationReaderTitle","You may also reflect on"
"quranPersonalizationReasonBeginnerFriendly","Recommended for beginners"
"quranPersonalizationReasonContinueReading","Continue where you left off"
"quranPersonalizationReasonDailyAnchor","A steady ayah for today"
"quranPersonalizationReasonGentleForToday","A gentle ayah for this moment"
"quranPersonalizationReasonGrowthFocus","Supports your current spiritual focus"
"quranPersonalizationReasonGuidedPathFocus","Connected to your current path"
"quranPersonalizationReasonKeepMomentum","Helps you keep momentum"
"quranPersonalizationReasonKidsFriendly","Gentle and easy to understand"
"quranPersonalizationReasonMemorizationReview","Good for memorization review"
"quranPersonalizationReasonPrayerSupport","Supports your prayer journey"
"quranPersonalizationReasonRecentReflection","Matches your recent reflection"
"quranPersonalizationReasonRemembranceRhythm","Fits your recent remembrance"
"quranPlaybackOpenPlayerAction","Open player"
"quranPlaybackStopAction","Stop playback"
"quranReaderAttributionLinksTitle","Attribution links"
"quranReaderAudioPlaybackSectionSubtitle","Choose the reciter and playback behavior without crowding the reading controls."
"quranReaderAudioPlaybackSectionTitle","Audio & Playback"
"quranReaderDownloadsOfflineSectionSubtitle","Keep only the surahs you need on this device."
"quranReaderDownloadsOfflineSectionTitle","Downloads & Offline"
"quranReaderJourneyContextOpenLesson","Open journey lesson"
"quranReaderJourneyContextOpenTheme","Explore this theme"
"quranReaderJourneyContextSubtitle","You’re studying {stageTitle} from {journeyTitle}."
"quranReaderJourneyContextThemeLabel","Theme: {themeTitle}"
"quranReaderJourneyContextTitle","Journey context"
"quranReaderMemorizationFocusMeta","Reviewed {count} times • Last reviewed: {dateLabel}"
"quranReaderMemorizationFocusOpenReview","Open review list"
"quranReaderMemorizationFocusSubtitle","Repeat this ayah calmly while keeping its meaning and the strongest study links close below."
"quranReaderMemorizationFocusTitle","Memorization focus"
"quranReaderMemorizationReviewSectionSubtitle","Keep hifz-focused controls separate from everyday reading."
"quranReaderMemorizationReviewSectionTitle","Memorization & Review"
"quranReaderModeCardTitle","Reader focus"
"quranReaderModeChangeAction","Change"
"quranReaderModeMemorizationLabel","Memorization mode"
"quranReaderModeMemorizationSubtitle","Reduce study density, keep repetition clear, and leave meaning close enough to support retention."
"quranReaderModeReadingLabel","Reading mode"
"quranReaderModeReadingSubtitle","Keep the page calmer and let study cues stay lighter while you move through the surah."
"quranReaderModeReflectionLabel","Reflection mode"
"quranReaderModeReflectionSubtitle","Keep meaning and reflection cues closer to the ayah without turning the page into a study dashboard."
"quranReaderModeStudyLabel","Study mode"
"quranReaderModeStudySubtitle","Bring ayah links, surah study, and deeper learning handoffs closer to the reading flow."
"quranReaderModeThemeLabel","Theme mode"
"quranReaderModeThemeSubtitle","Keep {themeTitle} in view so the ayah, surah, and related study links stay tied to one theme."
"quranReaderOpenFullAttributionsAction","Open full Attributions & Licenses page"
"quranReaderReadingDisplaySectionSubtitle","Adjust what stays visible and how the ayah text feels while you read."
"quranReaderReadingDisplaySectionTitle","Reading & Display"
"quranReaderRelatedDuasTitle","Related Duas"
"quranReaderRelatedHadithTitle","Related Hadith"
"quranReaderRepeatPracticeTitle","Repeat & practice"
"quranReaderRestartSurahAction","Restart Surah"
"quranReaderResumeAudioRecitationTitle","Resume Audio Recitation"
"quranReaderSourcesArabicTextTitle","Qur’an Arabic text (reader/search):"
"quranReaderSourcesArabicTextValue","package:quran (Flutter package), based on Quran data bundled in package."
"quranReaderSourcesAudioTitle","Audio recitations:"
"quranReaderSourcesAudioValue","EveryAyah CDN (Husary, Alafasy, Abdul Basit)."
"quranReaderSourcesLaunchNote","Note: verify production usage terms with each provider before public launch, especially audio redistribution rights."
"quranReaderSourcesLicensingTitle","Sources & Licensing"
"quranReaderSourcesTimingTitle","Word timing segments (live sync beta):"
"quranReaderSourcesTimingValue","Quran.com API v4 (api.quran.com), recitations by ayah with segments."
"quranReaderSourcesTranslationsTitle","Translations:"
"quranReaderSourcesTranslationsValue","package:quran translation set (e.g., Saheeh International, Clear Quran, Urdu, Bengali, Indonesian, Turkish, Dari)."
"quranReaderSourcesTransliterationTitle","Transliteration:"
"quranReaderSourcesTransliterationValue","AlQuran.cloud API (edition: en.transliteration) cached locally on device."
"quranReaderStudyToolsSectionSubtitle","Optional learning aids and beta helpers for deeper study."
"quranReaderStudyToolsSectionTitle","Study Tools"
"quranReferenceKnowledgeTypeCharacter","Character lesson"
"quranReferenceKnowledgeTypeHadith","Hadith connection"
"quranReferenceKnowledgeTypeJourney","Journey connection"
"quranReferenceKnowledgeTypeLifeLesson","Life lesson"
"quranReferenceKnowledgeTypeQuran","Direct Qur''an meaning"
"quranReferenceKnowledgeTypeReflection","Reflective insight"
"quranReferenceKnowledgeTypeSeerah","Seerah context"
"quranReferenceKnowledgeTypeSignsWorld","Signs and creation"
"quranReferenceKnowledgeTypeTheme","Thematic connection"
"quranReferenceKnowledgeTypeWorship","Worship lesson"
"quranReferenceStrengthDirect","Direct"
"quranReferenceStrengthReflective","Reflective"
"quranReferenceStrengthRelated","Related"
"quranReferenceStrengthStrong","Strong"
"quranReflectionsComposerHelper","What stood out to you, and what do you want to remember from this moment?"
"quranReflectionsDeleteReflectionAction","Delete reflection"
"quranReflectionsEditReflectionAction","Edit reflection"
"quranReflectionsFavoritesFilter","Favorites"
"quranReflectionsFilterPathways","Pathways"
"quranReflectionsFilterRecent","Recent"
"quranReflectionsFilterSurahs","Surahs"
"quranReflectionsFilterThemes","Themes"
"quranReflectionsLibraryEyebrow","Private reflections"
"quranReflectionsLibraryTitle","Your reflections"
"quranReflectionsMarkFavoriteAction","Mark as favorite"
"quranReflectionsMissingSubtitle","This saved reflection is no longer available, but your other reflections are still here."
"quranReflectionsMissingTitle","Reflection not found"
"quranReflectionsNoMatchesSubtitle","Try another search term or switch filters to see more of your saved insights."
"quranReflectionsNoMatchesTitle","No reflections match this view"
"quranReflectionsOpenSourceAction","Open source"
"quranReflectionsPathwayHelper","What do you want to carry forward from {pathwayTitle}?"
"quranReflectionsPathwayStopHelper","What do you want to remember from {stopTitle}?"
"quranReflectionsRemoveFavoriteAction","Remove favorite"
"quranReflectionsSaveReflectionAction","Save reflection"
"quranReflectionsSearchHint","Search reflections..."
"quranReflectionsSourceAyahReflection","Ayah reflection"
"quranReflectionsSourceCompanion","Companion prompt"
"quranReflectionsSourcePathway","Pathway"
"quranReflectionsSourcePathwayStop","Pathway stop"
"quranReflectionsSourceReader","Reader context"
"quranReflectionsSourceSurah","Surah detail"
"quranReflectionsSourceTheme","Theme detail"
"quranReflectionsSurahHelper","What guidance do you want to remember from {surahName}?"
"quranReflectionsThemeHelper","What is {themeName} drawing your attention to right now?"
"quranReflectionsUpdateReflectionAction","Update reflection"
"quranReflectionsYourReflectionTitle","Your reflection"
